Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP078159.1;Start=1802609;Strand=-	PF10237.11	0.025	14.4	252	337	Probable N6-adenine methyltransferase
Seqid=NZ_CP078159.1;Start=507368;Strand=-	PF05814.13	0.0044	17.1	465	532	Orf76 (Ac76)
Seqid=NZ_CP078159.1;Start=1490041;Strand=-	PF17026.7	0.19	12	81	110	Putative ribonucleoprotein zinc-finger pf C4 type
Seqid=NZ_CP078159.1;End=1197437;Strand=+	PF06859.14	0.0076	16.9	24	94	Bicoid-interacting protein 3 (Bin3)
Seqid=NZ_CP078161.1;Start=18879;Strand=-	PF12802.9	0.78	9.9	6	28	MarR family
Seqid=NZ_CP078159.1;End=1452431;Strand=+	PF01610.19	1.6e-50	172.2	164	416	Transposase
Seqid=NZ_CP078159.1;Start=1935289;Strand=-	PF13241.8	0.16	12.5	7	77	Putative NAD(P)-binding
Seqid=NZ_CP078159.1;Start=1697734;Strand=-	PF19810.1	0.059	13.3	58	128	Family of unknown function (DUF6293)
Seqid=NZ_CP078159.1;Start=1095887;Strand=-	PF00266.21	7.1e-23	81.2	39	341	Aminotransferase class-V
Seqid=NZ_CP078159.1;End=1383106;Strand=+	PF13528.8	8.2e-4	18.7	234	320	Glycosyl transferase family 1
Seqid=NZ_CP078159.1;End=803405;Strand=+	PF06325.15	2e-9	37.4	96	184	Ribosomal protein L11 methyltransferase (PrmA)
Seqid=NZ_CP078159.1;End=363529;Strand=+	PF00406.24	0.12	12.6	7	29	Adenylate kinase
Seqid=NZ_CP078159.1;Start=465119;Strand=-	PF02558.18	0.0018	18	27	87	Ketopantoate reductase PanE/ApbA
Seqid=NZ_CP078159.1;Start=1888176;Strand=-	PF12911.9	1.3e-14	54	50	100	N-terminal TM domain of oligopeptide transport permease C
Seqid=NZ_CP078159.1;End=2428369;Strand=+	PF00266.21	0.28	10.2	95	218	Aminotransferase class-V
Seqid=NZ_CP078159.1;End=1204929;Strand=+	PF01135.21	5.3e-9	36.2	41	152	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
Seqid=NZ_CP078159.1;End=1311935;Strand=+	PF00849.24	1.3e-22	80.7	66	200	RNA pseudouridylate synthase
Seqid=NZ_CP078159.1;End=834714;Strand=+	PF13604.8	0.007	16.2	40	164	AAA domain
Seqid=NZ_CP078159.1;End=774305;Strand=+	PF01113.22	0.034	14.4	1	52	Dihydrodipicolinate reductase, N-terminus
Seqid=NZ_CP078159.1;Start=509913;Strand=-	PF00107.28	6.7e-30	103.9	178	305	Zinc-binding dehydrogenase
Seqid=NZ_CP078159.1;Start=1581247;Strand=-	PF15619.8	0.93	9.2	683	810	Ciliary protein causing Leber congenital amaurosis disease
