Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP071512.1;End=979231;Strand=+	PF17047.7	0.14	11.7	84	122	Synaptotagmin-like mitochondrial-lipid-binding domain
Seqid=NZ_CP071512.1;End=1143989;Strand=+	PF01702.20	1.4e-162	541	16	369	Queuine tRNA-ribosyltransferase
Seqid=NZ_CP071512.1;End=2088319;Strand=+	PF00890.26	0.78	8.8	6	38	FAD binding domain
Seqid=NZ_CP071512.1;Start=2258523;Strand=-	PF00583.27	0.0031	17.8	68	175	Acetyltransferase (GNAT) family
Seqid=NZ_CP071512.1;End=802082;Strand=+	PF13604.8	0.007	16.2	40	164	AAA domain
Seqid=NZ_CP071512.1;Start=2209608;Strand=-	PF00156.29	1.3e-19	70.2	108	264	Phosphoribosyl transferase domain
Seqid=NZ_CP071512.1;End=726648;Strand=+	PF07015.13	2.1e-4	20.8	111	148	VirC1 protein
Seqid=NZ_CP071512.1;End=1327352;Strand=+	PF00350.25	8.6e-24	84.6	63	213	Dynamin family
Seqid=NZ_CP071512.1;End=409719;Strand=+	PF01297.19	1.5e-58	198.4	41	317	Zinc-uptake complex component A periplasmic
Seqid=NZ_CP071512.1;Start=2330985;Strand=-	PF12844.9	1.1e-11	44.7	11	71	Helix-turn-helix domain
Seqid=NZ_CP071512.1;Start=605989;Strand=-	PF01371.21	0.1	12.8	8	43	Trp repressor protein
Seqid=NZ_CP071512.1;End=524297;Strand=+	PF14567.8	0.37	10.6	148	190	SMI1-KNR4 cell-wall
Seqid=NZ_CP071512.1;Start=1761679;Strand=-	PF10654.11	0.07	13.2	309	377	Protein of unknown function (DUF2481)
Seqid=NZ_CP071512.1;Start=1284507;Strand=-	PF00037.29	0.0031	17.3	25	37	4Fe-4S binding domain
Seqid=NZ_CP071512.1;End=1290168;Strand=+	PF00070.29	5.7e-7	30.1	159	227	Pyridine nucleotide-disulphide oxidoreductase
Seqid=NZ_CP071512.1;Start=493060;Strand=-	PF01814.25	5.1e-20	72.5	92	229	Hemerythrin HHE cation binding domain
Seqid=NZ_CP071512.1;Start=1055111;Strand=-	PF13180.8	4.4e-18	65.5	309	399	PDZ domain
Seqid=NZ_CP071512.1;End=277402;Strand=+	PF13175.8	0.095	12.3	33	77	AAA ATPase domain
Seqid=NZ_CP071512.1;Start=1316640;Strand=-	PF12420.10	0.0068	16.5	17	60	Protein of unknown function
Seqid=NZ_CP071512.1;Start=495361;Strand=-	PF14221.8	0.011	15.9	117	213	Domain of unknown function (DUF4330)
Seqid=NZ_CP071512.1;End=593523;Strand=+	PF02979.18	0.095	12.2	24	79	Nitrile hydratase, alpha chain
Seqid=NZ_CP071512.1;Start=540096;Strand=-	PF17931.3	0.2	11.9	117	171	Tetracyclin repressor-like, C-terminal domain
Seqid=NZ_CP071512.1;Start=878711;Strand=-	PF00085.22	0.018	15.2	48	130	Thioredoxin
Seqid=NZ_CP071512.1;Start=221176;Strand=-	PF13412.8	1.1e-4	21.8	17	55	Winged helix-turn-helix DNA-binding
Seqid=NZ_CP071512.1;Start=1604880;Strand=-	PF13800.8	0.0031	17.8	165	222	Sigma factor regulator N-terminal
Seqid=NZ_CP071512.1;End=804763;Strand=+	PF02937.17	0.29	11.3	38	85	Cytochrome c oxidase subunit VIc
Seqid=NZ_CP071512.1;Start=884350;Strand=-	PF00171.24	3.5e-93	312.8	4	429	Aldehyde dehydrogenase family
Seqid=NZ_CP071512.1;End=639348;Strand=+	PF02492.21	0.012	15.2	3	60	CobW/HypB/UreG, nucleotide-binding domain
