Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP024809.1;Start=1527122;Strand=-	PF12848.9	3.3e-21	75.2	224	308	ABC transporter
Seqid=NZ_CP024809.1;End=1985320;Strand=+	PF07992.16	6.2e-46	157.1	4	297	Pyridine nucleotide-disulphide oxidoreductase
Seqid=NZ_CP024809.1;End=688275;Strand=+	PF19263.1	0.32	11.9	38	64	Family of unknown function (DUF5906)
Seqid=NZ_CP024809.1;End=214289;Strand=+	PF01926.25	0.42	10.8	28	47	50S ribosome-binding GTPase
Seqid=NZ_CP024809.1;End=815163;Strand=+	PF02378.20	6.9e-69	232.4	28	348	Phosphotransferase system, EIIC
Seqid=NZ_CP024809.1;End=1312484;Strand=+	PF13245.8	0.017	15.4	3	29	AAA domain
Seqid=NZ_CP024809.1;Start=2035590;Strand=-	PF01925.21	2.4e-55	187.9	8	269	Sulfite exporter TauE/SafE
Seqid=NZ_CP024809.1;End=785100;Strand=+	PF01131.22	2.8e-105	352.8	152	569	DNA topoisomerase
Seqid=NZ_CP024809.1;Start=1179584;Strand=-	PF05685.14	0.046	13.4	115	151	Putative restriction endonuclease
Seqid=NZ_CP024809.1;Start=1713982;Strand=-	PF12614.10	0.0053	16.9	96	175	Ribosome recycling factor
Seqid=NZ_CP024809.1;Start=1663823;Strand=-	PF01624.22	1.5e-48	163.8	5	115	MutS domain I
Seqid=NZ_CP024809.1;Start=1740715;Strand=-	PF08281.14	2.1e-5	24.2	28	66	Sigma-70, region 4
Seqid=NZ_CP024809.1;End=704143;Strand=+	PF02796.17	0.49	10.6	16	29	Helix-turn-helix domain of resolvase
Seqid=NZ_CP024809.1;End=1309649;Strand=+	PF12847.9	0.0053	16.9	39	125	Methyltransferase domain
Seqid=NZ_CP024809.1;End=2291189;Strand=+	PF08206.13	0.03	14.1	28	46	Ribonuclease B OB domain
Seqid=NZ_CP024809.1;Start=2163751;Strand=-	PF04723.16	0.081	12.8	239	289	Glycine reductase complex selenoprotein A
Seqid=NZ_CP024809.1;End=148670;Strand=+	PF18652.3	0.35	11.2	115	148	Adhesin P1 N-terminal domain
