Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NODE_9_length_73269_cov_171.361365;Start=20098;Strand=-	PF01795.21	0.051	13.2	65	128	MraW methylase family
Seqid=NODE_19_length_43567_cov_252.384180;End=33778;Strand=+	PF00111.29	0.0043	17.1	11	71	2Fe-2S iron-sulfur cluster binding domain
Seqid=NODE_18_length_46896_cov_243.824217;Start=2797;Strand=-	PF16956.7	0.085	12.4	9	43	Putative general bacterial porin
Seqid=NODE_20_length_42920_cov_245.749691;End=37005;Strand=+	PF03446.17	8.1e-7	29.4	24	108	NAD binding domain of 6-phosphogluconate dehydrogenase
Seqid=NODE_19_length_43567_cov_252.384180;Start=13535;Strand=-	PF03653.15	0.083	13.3	7	61	Uncharacterised protein family (UPF0093)
Seqid=NODE_45_length_6111_cov_231.502154;Start=1402;Strand=-	PF01047.24	8.8e-5	22.4	47	90	MarR family
Seqid=NODE_23_length_38294_cov_259.278044;Start=27139;Strand=-	PF11023.10	0.26	11.5	15	49	Zinc-ribbon containing domain
Seqid=NODE_13_length_53028_cov_297.847047;End=51362;Strand=+	PF00324.23	6.7e-39	133.9	38	450	Amino acid permease
Seqid=NODE_16_length_48124_cov_200.183425;End=25348;Strand=+	PF01926.25	0.3	11.3	41	66	50S ribosome-binding GTPase
Seqid=NODE_22_length_38496_cov_261.159739;Start=21339;Strand=-	PF01883.21	0.044	14.1	33	77	Iron-sulfur cluster assembly protein
Seqid=NODE_1_length_311834_cov_211.387574;Start=212386;Strand=-	PF08442.12	0.28	10.9	672	716	ATP-grasp domain
Seqid=NODE_37_length_13437_cov_176.831512;End=4517;Strand=+	PF08704.12	0.0024	17.7	41	151	tRNA methyltransferase complex GCD14 subunit
Seqid=NODE_2_length_208019_cov_274.767661;End=50851;Strand=+	PF09723.12	0.0046	17.1	196	231	Zinc ribbon domain
Seqid=NODE_7_length_93468_cov_171.223747;End=8643;Strand=+	PF01556.20	5.4e-45	153.2	117	334	DnaJ C terminal domain
Seqid=NODE_24_length_37923_cov_335.358083;Start=11842;Strand=-	PF01479.27	6.5e-10	38.7	1	47	S4 domain
Seqid=NODE_10_length_69782_cov_362.884972;Start=53872;Strand=-	PF12844.9	1.4e-9	38	4	61	Helix-turn-helix domain
Seqid=NODE_11_length_67393_cov_348.837364;End=16715;Strand=+	PF07722.15	3.5e-9	36.8	72	174	Peptidase C26
Seqid=NODE_6_length_97827_cov_271.807059;End=66229;Strand=+	PF19592.1	0.33	11.3	101	144	Family of unknown function (DUF6097)
Seqid=NODE_11_length_67393_cov_348.837364;End=21893;Strand=+	PF07342.13	2.4e-35	121.1	8	108	Protein of unknown function (DUF1474)
Seqid=NODE_20_length_42920_cov_245.749691;End=14762;Strand=+	PF00881.26	6.8e-11	42.6	16	185	Nitroreductase family
Seqid=NODE_1_length_311834_cov_211.387574;End=19479;Strand=+	PF15050.8	0.53	10.8	64	108	SCIMP protein
Seqid=NODE_3_length_175266_cov_403.750869;End=3170;Strand=+	PF07553.13	7.3e-12	45.3	220	267	Host cell surface-exposed lipoprotein
Seqid=NODE_1_length_311834_cov_211.387574;End=34631;Strand=+	PF07991.14	0.0051	16.5	2	89	Acetohydroxy acid isomeroreductase, NADPH-binding domain
Seqid=NODE_13_length_53028_cov_297.847047;Start=45607;Strand=-	PF13085.8	0.24	11.6	18	49	2Fe-2S iron-sulfur cluster binding domain
Seqid=NODE_5_length_98151_cov_292.248894;End=46909;Strand=+	PF00004.31	0.38	11.3	366	527	ATPase family associated with various cellular activities (AAA)
Seqid=NODE_23_length_38294_cov_259.278044;Start=1767;Strand=-	PF00006.27	0.022	14.5	31	72	ATP synthase alpha/beta family, nucleotide-binding domain
Seqid=NODE_6_length_97827_cov_271.807059;End=72293;Strand=+	PF08792.12	0.0068	16.2	63	91	A2L zinc ribbon domain
Seqid=NODE_2_length_208019_cov_274.767661;End=60343;Strand=+	PF13091.8	1.8e-14	53.9	48	176	PLD-like domain
Seqid=NODE_31_length_21906_cov_324.067754;Start=15655;Strand=-	PF16988.7	0.065	12.7	20	47	Vacuolar protein sorting 36 NZF-N zinc-finger domain
Seqid=NODE_3_length_175266_cov_403.750869;End=143132;Strand=+	PF02562.18	0.15	11.6	29	60	PhoH-like protein
Seqid=NODE_18_length_46896_cov_243.824217;Start=19373;Strand=-	PF04101.18	1.8e-8	34.7	225	349	Glycosyltransferase family 28 C-terminal domain
Seqid=NODE_1_length_311834_cov_211.387574;Start=1764;Strand=-	PF01168.22	3.8e-40	137.9	10	224	Alanine racemase, N-terminal domain
Seqid=NODE_37_length_13437_cov_176.831512;End=2566;Strand=+	PF02737.20	1.9e-5	24.7	3	73	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
Seqid=NODE_43_length_6813_cov_314.029691;Start=1065;Strand=-	PF04545.18	0.071	12.7	160	197	Sigma-70, region 4
Seqid=NODE_2_length_208019_cov_274.767661;End=169140;Strand=+	PF13508.9	6.7e-14	52.1	43	120	Acetyltransferase (GNAT) domain
Seqid=NODE_1_length_311834_cov_211.387574;Start=229448;Strand=-	PF07889.14	0.24	11.5	25	86	Protein of unknown function (DUF1664)
Seqid=NODE_5_length_98151_cov_292.248894;End=54548;Strand=+	PF13555.8	5.8e-6	26.1	67	99	P-loop containing region of AAA domain
Seqid=NODE_1_length_311834_cov_211.387574;Start=84967;Strand=-	PF11145.10	0.046	11.7	11	78	Protein of unknown function (DUF2921)
