Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP035541.1;End=1460720;Strand=+	PF01118.26	0.0012	19.3	4	78	Semialdehyde dehydrogenase, NAD binding domain
Seqid=NZ_CP035541.1;End=2125163;Strand=+	PF12648.9	0.57	10.8	4	62	TcpE family
Seqid=NZ_CP035541.1;End=2556201;Strand=+	PF00486.30	4.1e-15	55.7	125	195	Transcriptional regulatory protein, C terminal
Seqid=NZ_CP035541.1;End=484743;Strand=+	PF07895.13	0.0055	16.7	34	162	Protein of unknown function (DUF1673)
Seqid=NZ_CP035541.1;Start=2598772;Strand=-	PF07728.16	0.32	11.1	17	40	AAA domain (dynein-related subfamily)
Seqid=NZ_CP035541.1;Start=1672152;Strand=-	PF01494.21	7.6e-4	18.9	4	35	FAD binding domain
Seqid=NZ_CP035541.1;Start=2228552;Strand=-	PF13692.8	1.2e-19	71	195	331	Glycosyl transferases group 1
Seqid=NZ_CP035541.1;Start=162235;Strand=-	PF13567.8	0.15	11.8	67	128	Domain of unknown function (DUF4131)
Seqid=NZ_CP035541.1;Start=11658;Strand=-	PF13248.8	3.4e-5	23.2	2	24	zinc-ribbon domain
Seqid=NZ_CP035541.1;Start=2185864;Strand=-	PF13401.8	0.13	12.6	359	381	AAA domain
Seqid=NZ_CP035541.1;Start=1380454;Strand=-	PF09786.11	0.18	10.8	15	57	Cytochrome B561, N terminal
Seqid=NZ_CP035541.1;Start=2549044;Strand=-	PF03050.16	0.0013	18.4	19	96	Transposase IS66 family
Seqid=NZ_CP035541.1;Start=697650;Strand=-	PF19776.1	0.37	11.1	8	80	Family of unknown function (DUF6262)
Seqid=NZ_CP035541.1;End=1193594;Strand=+	PF00579.27	2.3e-84	283.3	30	324	tRNA synthetases class I (W and Y)
Seqid=NZ_CP035541.1;End=653734;Strand=+	PF05966.14	0.057	12.8	15	54	Chordopoxvirus A33R protein
Seqid=NZ_CP035541.1;Start=1297480;Strand=-	PF05496.14	8.8e-13	48.4	13	129	Holliday junction DNA helicase RuvB P-loop domain
Seqid=NZ_CP035541.1;End=914697;Strand=+	PF02815.21	0.22	11.4	217	270	MIR domain
Seqid=NZ_CP035541.1;Start=2513570;Strand=-	PF09716.12	0.038	14.1	22	110	Malarial early transcribed membrane protein (ETRAMP)
Seqid=NZ_CP035541.1;End=1823589;Strand=+	PF00352.23	0.051	13.6	18	62	Transcription factor TFIID (or TATA-binding protein, TBP)
Seqid=NZ_CP035541.1;End=1370969;Strand=+	PF00480.22	5.5e-64	216.6	7	319	ROK family
Seqid=NZ_CP035541.1;Start=2103842;Strand=-	PF02463.21	9.4e-4	18.8	611	901	RecF/RecN/SMC N terminal domain
Seqid=NZ_CP035541.1;End=1389663;Strand=+	PF00348.19	1.5e-56	191.4	53	276	Polyprenyl synthetase
Seqid=NZ_CP035541.1;End=909315;Strand=+	PF13601.8	0.012	15.8	25	93	Winged helix DNA-binding domain
Seqid=NZ_CP035541.1;End=420466;Strand=+	PF13589.8	0.0077	16.3	202	252	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
Seqid=NZ_CP035541.1;Start=1690121;Strand=-	PF13671.8	0.0035	17.6	103	144	AAA domain
Seqid=NZ_CP035541.1;Start=2330327;Strand=-	PF02719.17	2.9e-6	26.7	4	156	Polysaccharide biosynthesis protein
Seqid=NZ_CP035541.1;End=1470901;Strand=+	PF17204.5	0.43	10.9	25	56	Sid-5 family
Seqid=NZ_CP035541.1;End=1386434;Strand=+	PF02222.24	5.4e-7	29.5	137	292	ATP-grasp domain
Seqid=NZ_CP035541.1;Start=2313703;Strand=-	PF16487.7	0.31	11.4	128	167	Mid domain of argonaute
Seqid=NZ_CP035541.1;End=161105;Strand=+	PF19087.2	2e-16	60	485	550	Domain of unknown function (DUF5776)
Seqid=NZ_CP035541.1;Start=1630242;Strand=-	PF01966.24	2.7e-18	66.4	336	427	HD domain
Seqid=NZ_CP035541.1;End=1073325;Strand=+	PF10640.11	0.0032	16.5	31	124	mRNA capping enzyme N-terminal, ATPase and guanylyltransferase
Seqid=NZ_CP035541.1;End=953103;Strand=+	PF13466.8	4.2e-11	43	18	95	STAS domain
Seqid=NZ_CP035541.1;End=1962990;Strand=+	PF19658.1	0.35	10.4	250	300	Family of unknown function (DUF6161)
Seqid=NZ_CP035541.1;End=861392;Strand=+	PF06276.14	2.5e-25	89.9	414	569	Ferric iron reductase FhuF-like transporter
Seqid=NZ_CP035541.1;Start=1798119;Strand=-	PF04851.17	0.14	12.2	188	248	Type III restriction enzyme, res subunit
Seqid=NZ_CP035541.1;Start=1607672;Strand=-	PF13167.8	5.9e-29	100.7	36	123	GTP-binding GTPase N-terminal
Seqid=NZ_CP035541.1;End=791793;Strand=+	PF00441.26	6.1e-10	39.6	245	358	Acyl-CoA dehydrogenase, C-terminal domain
Seqid=NZ_CP035541.1;Start=2262351;Strand=-	PF01497.20	1.1e-35	123.4	50	274	Periplasmic binding protein
Seqid=NZ_CP035541.1;End=428664;Strand=+	PF02487.19	0.18	10.9	61	130	CLN3 protein
Seqid=NZ_CP035541.1;Start=1691836;Strand=-	PF07728.16	0.18	11.9	181	211	AAA domain (dynein-related subfamily)
Seqid=NZ_CP035541.1;Start=1060688;Strand=-	PF03449.17	0.041	14.2	175	200	Transcription elongation factor, N-terminal
Seqid=NZ_CP035541.1;Start=1997713;Strand=-	PF02826.21	3.3e-4	20.1	203	246	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
Seqid=NZ_CP035541.1;End=1928905;Strand=+	PF05120.14	0.059	13.5	82	110	Gas vesicle protein G
Seqid=NZ_CP035541.1;End=253472;Strand=+	PF00892.22	7.7e-8	32.7	160	287	EamA-like transporter family
Seqid=NZ_CP035541.1;End=1323743;Strand=+	PF01926.25	4.3e-14	52.7	162	232	50S ribosome-binding GTPase
Seqid=NZ_CP035541.1;Start=2068133;Strand=-	PF05549.13	0.52	9.9	9	78	Allexivirus 40kDa protein
Seqid=NZ_CP035541.1;End=1927483;Strand=+	PF06338.13	8.9e-45	152.2	11	161	ComK protein
Seqid=NZ_CP035541.1;End=2058069;Strand=+	PF19727.1	0.89	9.5	30	71	Family of unknown function (DUF6219)
Seqid=NZ_CP035541.1;End=838551;Strand=+	PF13558.8	0.021	15.2	163	189	Putative exonuclease SbcCD, C subunit
Seqid=NZ_CP035541.1;Start=2491706;Strand=-	PF19180.2	0.53	10.3	1	24	Family of unknown function (DUF5862)
Seqid=NZ_CP035541.1;End=135566;Strand=+	PF00005.29	1.2e-33	116.6	493	643	ABC transporter
Seqid=NZ_CP035541.1;Start=813454;Strand=-	PF01036.20	0.52	10	4	104	Bacteriorhodopsin-like protein
Seqid=NZ_CP035541.1;End=1244149;Strand=+	PF13238.8	0.0063	17.2	5	148	AAA domain
Seqid=NZ_CP035541.1;End=1477158;Strand=+	PF17936.3	0.0036	17.6	2111	2165	Bacterial Ig domain
Seqid=NZ_CP035541.1;End=457847;Strand=+	PF00501.30	5.8e-83	278.9	21	423	AMP-binding enzyme
Seqid=NZ_CP035541.1;Start=1635730;Strand=-	PF01842.27	0.0015	18.4	19	71	ACT domain
Seqid=NZ_CP035541.1;End=1327844;Strand=+	PF12698.9	0.52	9.5	27	121	ABC-2 family transporter protein
Seqid=NZ_CP035541.1;End=1311667;Strand=+	PF12847.9	0.0053	16.9	39	125	Methyltransferase domain
Seqid=NZ_CP035541.1;Start=125492;Strand=-	PF17314.4	0.04	14.1	253	307	Family of unknown function (DUF5360)
Seqid=NZ_CP035541.1;End=1232729;Strand=+	PF00534.22	0.078	12.6	185	226	Glycosyl transferases group 1
Seqid=NZ_CP035541.1;End=232360;Strand=+	PF13601.8	3.7e-6	27.1	49	121	Winged helix DNA-binding domain
Seqid=NZ_CP035541.1;Start=295332;Strand=-	PF04551.16	0.058	12.6	73	127	GcpE protein
Seqid=NZ_CP035541.1;Start=2169000;Strand=-	PF00248.23	3.1e-53	180.8	23	261	Aldo/keto reductase family
Seqid=NZ_CP035541.1;Start=1691517;Strand=-	PF04545.18	6.8e-7	28.8	28	60	Sigma-70, region 4
Seqid=NZ_CP035541.1;End=1116042;Strand=+	PF04545.18	5.2e-7	29.2	87	133	Sigma-70, region 4
Seqid=NZ_CP035541.1;Start=1143096;Strand=-	PF05175.16	0.001	18.8	16	84	Methyltransferase small domain
Seqid=NZ_CP035541.1;Start=2367413;Strand=-	PF14532.8	0.81	9.9	188	281	Sigma-54 interaction domain
Seqid=NZ_CP035541.1;Start=2579544;Strand=-	PF18804.3	0.34	10.9	42	114	CxC3 like cysteine cluster associated with KDZ transposases
Seqid=NZ_CP035541.1;End=859628;Strand=+	PF07690.18	2.6e-5	23.4	214	384	Major Facilitator Superfamily
Seqid=NZ_CP035541.1;End=2520741;Strand=+	PF13412.8	0.059	13	45	89	Winged helix-turn-helix DNA-binding
Seqid=NZ_CP035541.1;Start=2491706;Strand=-	PF01566.20	0.16	11	15	76	Natural resistance-associated macrophage protein
Seqid=NZ_CP035541.1;Start=1781434;Strand=-	PF12363.10	2.4e-33	115	3	109	Phage tail assembly chaperone protein, TAC
Seqid=NZ_CP035541.1;End=401930;Strand=+	PF02706.17	1.9e-25	89	7	96	Chain length determinant protein
Seqid=NZ_CP035541.1;End=1362725;Strand=+	PF13604.8	0.053	13.3	39	71	AAA domain
Seqid=NZ_CP035541.1;End=616200;Strand=+	PF03029.19	0.11	12.4	33	52	Conserved hypothetical ATP binding protein
Seqid=NZ_CP035541.1;Start=744868;Strand=-	PF02535.24	0.028	13.7	242	339	ZIP Zinc transporter
Seqid=NZ_CP035541.1;End=2050441;Strand=+	PF03563.15	0.91	8.8	37	88	Bunyavirus glycoprotein G2
Seqid=NZ_CP035541.1;End=1435458;Strand=+	PF07307.13	3.1e-4	20.5	60	182	Heptaprenyl diphosphate synthase (HEPPP synthase) subunit 1
Seqid=NZ_CP035541.1;Start=1811314;Strand=-	PF12800.9	0.09	13.4	180	193	4Fe-4S binding domain
Seqid=NZ_CP035541.1;Start=2597477;Strand=-	PF07501.14	1.3e-14	54.4	16	86	G5 domain
Seqid=NZ_CP035541.1;End=2531058;Strand=+	PF13518.8	0.35	11.1	25	54	Helix-turn-helix domain
Seqid=NZ_CP035541.1;Start=2083877;Strand=-	PF03952.18	2.1e-60	202.8	4	136	Enolase, N-terminal domain
Seqid=NZ_CP035541.1;Start=2571336;Strand=-	PF12802.9	0.35	11	64	109	MarR family
Seqid=NZ_CP035541.1;End=1490667;Strand=+	PF03572.20	6.9e-48	162.5	231	394	Peptidase family S41
Seqid=NZ_CP035541.1;End=376805;Strand=+	PF12195.10	0.48	10.5	399	426	Beta barrel domain of bacteriophage endosialidase
Seqid=NZ_CP035541.1;End=1458149;Strand=+	PF16147.7	0.032	13.5	14	102	Domain of unknown function (DUF4855)
Seqid=NZ_CP035541.1;Start=2598772;Strand=-	PF13401.8	0.053	13.9	15	35	AAA domain
Seqid=NZ_CP035541.1;End=775243;Strand=+	PF17179.6	0.8	10.7	193	206	4Fe-4S dicluster domain
Seqid=NZ_CP035541.1;End=1031422;Strand=+	PF05958.13	6.4e-24	84.7	95	457	tRNA (Uracil-5-)-methyltransferase
Seqid=NZ_CP035541.1;End=1914836;Strand=+	PF13457.8	4.3e-6	27.3	974	1043	GW (Gly-Tryp) dipeptide domain
Seqid=NZ_CP035541.1;Start=1862534;Strand=-	PF08614.13	0.026	14.8	86	204	Autophagy protein 16 (ATG16)
Seqid=NZ_CP035541.1;Start=2184125;Strand=-	PF16897.7	0.22	11.6	136	201	C-terminal region of MMR_HSR1 domain
Seqid=NZ_CP035541.1;End=2511774;Strand=+	PF14493.8	0.046	14.2	169	193	Helix-turn-helix domain
Seqid=NZ_CP035541.1;Start=2220530;Strand=-	PF09796.11	0.7	10.1	112	143	Ubiquinol-cytochrome-c reductase complex subunit (QCR10)
Seqid=NZ_CP035541.1;End=1017061;Strand=+	PF00615.21	0.034	14.6	11	85	Regulator of G protein signaling domain
Seqid=NZ_CP035541.1;End=2094116;Strand=+	PF07993.14	0.65	9.2	49	131	Male sterility protein
Seqid=NZ_CP035541.1;End=1145910;Strand=+	PF07690.18	2.6e-22	79.4	10	224	Major Facilitator Superfamily
Seqid=NZ_CP035541.1;End=184109;Strand=+	PF14512.8	1.8e-6	27.9	25	64	Putative TM nitroreductase
Seqid=NZ_CP035541.1;End=1126735;Strand=+	PF14221.8	0.068	13.4	8	73	Domain of unknown function (DUF4330)
Seqid=NZ_CP035541.1;Start=1736308;Strand=-	PF00903.27	6.8e-6	26.4	13	119	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Seqid=NZ_CP035541.1;Start=1973087;Strand=-	PF02601.17	0.59	9.7	426	501	Exonuclease VII, large subunit
Seqid=NZ_CP035541.1;End=128877;Strand=+	PF07618.13	0.16	11.7	9	28	Protein of unknown function (DUF1580)
Seqid=NZ_CP035541.1;Start=2066523;Strand=-	PF12765.9	0.24	11.8	61	91	HEAT repeat associated with sister chromatid cohesion
Seqid=NZ_CP035541.1;Start=1033337;Strand=-	PF00929.26	2.8e-26	93.1	44	195	Exonuclease
Seqid=NZ_CP035541.1;End=1304175;Strand=+	PF07719.19	0.0018	18.3	203	236	Tetratricopeptide repeat
Seqid=NZ_CP035541.1;Start=1986600;Strand=-	PF13361.8	1.5e-11	44.5	289	658	UvrD-like helicase C-terminal domain
Seqid=NZ_CP035541.1;Start=2551295;Strand=-	PF03193.18	0.0058	16.6	20	48	RsgA GTPase
Seqid=NZ_CP035541.1;End=1477158;Strand=+	PF11974.10	0.16	12.1	767	799	Bacterial alpha-2-macroglobulin MG3 domain
Seqid=NZ_CP035541.1;End=185581;Strand=+	PF18029.3	0.0059	17.4	12	139	Glyoxalase-like domain
Seqid=NZ_CP035541.1;End=827601;Strand=+	PF00366.22	3.3e-30	104.1	12	79	Ribosomal protein S17
Seqid=NZ_CP035541.1;Start=766459;Strand=-	PF13580.8	1.6e-5	25.1	36	162	SIS domain
Seqid=NZ_CP035541.1;End=1155652;Strand=+	PF07564.13	9.7e-16	57.7	699	774	Domain of Unknown Function (DUF1542)
Seqid=NZ_CP035541.1;Start=999800;Strand=-	PF14595.8	2.1e-37	127.9	14	138	Thioredoxin
Seqid=NZ_CP035541.1;Start=1607672;Strand=-	PF00350.25	0.17	12	211	236	Dynamin family
Seqid=NZ_CP035541.1;Start=2103842;Strand=-	PF13476.8	0.057	14	5	42	AAA domain
Seqid=NZ_CP035541.1;End=826675;Strand=+	PF05316.14	0.021	15	82	135	Mitochondrial ribosomal protein (VAR1)
Seqid=NZ_CP035541.1;End=1159383;Strand=+	PF07564.13	3.8e-21	75	919	994	Domain of Unknown Function (DUF1542)
Seqid=NZ_CP035541.1;End=300616;Strand=+	PF00474.19	4e-38	131.5	42	445	Sodium:solute symporter family
Seqid=NZ_CP035541.1;Start=2598772;Strand=-	PF19993.1	0.01	15.7	14	37	Double-GTPase 2
Seqid=NZ_CP035541.1;Start=2133631;Strand=-	PF00004.31	0.39	11.2	32	67	ATPase family associated with various cellular activities (AAA)
Seqid=NZ_CP035541.1;Start=330657;Strand=-	PF04545.18	0.0064	16.1	8	35	Sigma-70, region 4
Seqid=NZ_CP035541.1;End=181643;Strand=+	PF13604.8	0.087	12.6	32	86	AAA domain
Seqid=NZ_CP035541.1;End=665083;Strand=+	PF13671.8	0.17	12.1	29	46	AAA domain
Seqid=NZ_CP035541.1;Start=2462681;Strand=-	PF02540.19	0.026	13.7	361	390	NAD synthase
Seqid=NZ_CP035541.1;End=1065267;Strand=+	PF13565.8	0.41	11.4	25	71	Homeodomain-like domain
Seqid=NZ_CP035541.1;Start=2106684;Strand=-	PF02151.21	1.4e-8	34.3	626	659	UvrB/uvrC motif
Seqid=NZ_CP035541.1;Start=233826;Strand=-	PF17124.7	4.8e-7	29.9	23	164	ThiJ/PfpI family-like
Seqid=NZ_CP035541.1;End=1042208;Strand=+	PF03203.16	0.041	14.5	20	82	MerC mercury resistance protein
Seqid=NZ_CP035541.1;Start=1973087;Strand=-	PF05621.13	4.3e-4	19.9	191	337	Bacterial TniB protein
Seqid=NZ_CP035541.1;Start=1637438;Strand=-	PF00675.22	4.5e-15	56	64	171	Insulinase (Peptidase family M16)
Seqid=NZ_CP035541.1;End=41731;Strand=+	PF05437.14	4.8e-19	68.4	8	106	Branched-chain amino acid transport protein (AzlD)
Seqid=NZ_CP035541.1;End=627832;Strand=+	PF13191.8	0.0049	17.3	64	198	AAA ATPase domain
Seqid=NZ_CP035541.1;End=996858;Strand=+	PF13304.8	0.0043	17	30	49	AAA domain, putative AbiEii toxin, Type IV TA system
Seqid=NZ_CP035541.1;End=748107;Strand=+	PF16983.7	5.5e-6	26.8	26	134	Molybdate transporter of MFS superfamily
Seqid=NZ_CP035541.1;End=1593832;Strand=+	PF02517.18	0.16	12.4	10	59	Type II CAAX prenyl endopeptidase Rce1-like
Seqid=NZ_CP035541.1;End=1073325;Strand=+	PF02463.21	3.3e-10	39.9	28	203	RecF/RecN/SMC N terminal domain
Seqid=NZ_CP035541.1;Start=2151103;Strand=-	PF02463.21	0.061	12.9	112	196	RecF/RecN/SMC N terminal domain
Seqid=NZ_CP035541.1;Start=1673483;Strand=-	PF14255.8	0.18	11.8	575	588	Cysteine-rich CPXCG
Seqid=NZ_CP035541.1;End=175988;Strand=+	PF12963.9	0.08	13.4	13	51	Protein of unknown function (DUF3852)
Seqid=NZ_CP035541.1;End=832981;Strand=+	PF00344.22	1.5e-107	359.5	69	412	SecY
Seqid=NZ_CP035541.1;Start=2585733;Strand=-	PF13542.8	0.05	13.1	80	127	Helix-turn-helix domain of transposase family ISL3
Seqid=NZ_CP035541.1;End=1510303;Strand=+	PF08206.13	0.0017	18.1	23	45	Ribonuclease B OB domain
Seqid=NZ_CP035541.1;End=1848613;Strand=+	PF06335.14	1.1e-76	257.2	6	202	Protein of unknown function (DUF1054)
Seqid=NZ_CP035541.1;End=1060499;Strand=+	PF01926.25	0.054	13.7	378	439	50S ribosome-binding GTPase
Seqid=NZ_CP035541.1;Start=569591;Strand=-	PF02558.18	0.0097	15.7	27	72	Ketopantoate reductase PanE/ApbA
Seqid=NZ_CP035541.1;Start=1650546;Strand=-	PF12090.10	0.7	9.5	25	121	Spt20 family
Seqid=NZ_CP035541.1;End=2265660;Strand=+	PF13173.8	0.78	9.9	34	81	AAA domain
Seqid=NZ_CP035541.1;End=516295;Strand=+	PF17294.4	0.037	13.8	10	104	Uncharacterised lipoprotein family
Seqid=NZ_CP035541.1;Start=1827635;Strand=-	PF00588.21	9.4e-34	116.7	121	256	SpoU rRNA Methylase family
Seqid=NZ_CP035541.1;Start=2390055;Strand=-	PF04977.17	1.2e-16	60.3	41	118	Septum formation initiator
Seqid=NZ_CP035541.1;End=411932;Strand=+	PF00132.26	4.5e-11	42.1	100	134	Bacterial transferase hexapeptide (six repeats)
Seqid=NZ_CP035541.1;Start=2393533;Strand=-	PF08872.12	0.34	11.6	544	587	KGK domain
Seqid=NZ_CP035541.1;End=1048290;Strand=+	PF04571.16	0.056	13.5	15	49	lipin, N-terminal conserved region
Seqid=NZ_CP035541.1;End=1418323;Strand=+	PF00072.26	2.8e-31	108.1	5	113	Response regulator receiver domain
Seqid=NZ_CP035541.1;Start=973002;Strand=-	PF12848.9	2.2e-22	79	236	320	ABC transporter
Seqid=NZ_CP035541.1;End=971598;Strand=+	PF18108.3	0.3	11.4	36	83	QSOX Trx-like domain
Seqid=NZ_CP035541.1;End=31553;Strand=+	PF13275.8	1.6e-22	79.2	14	65	S4 domain
Seqid=NZ_CP035541.1;Start=2210611;Strand=-	PF01637.20	0.048	13.7	39	65	ATPase domain predominantly from Archaea
Seqid=NZ_CP035541.1;End=946457;Strand=+	PF00271.33	2e-30	105.5	237	346	Helicase conserved C-terminal domain
Seqid=NZ_CP035541.1;Start=2365825;Strand=-	PF02492.21	0.22	11.1	91	142	CobW/HypB/UreG, nucleotide-binding domain
Seqid=NZ_CP035541.1;End=32665;Strand=+	PF13555.8	0.0033	17.2	3	56	P-loop containing region of AAA domain
Seqid=NZ_CP035541.1;Start=1089089;Strand=-	PF13616.8	1.2e-25	90.4	130	244	PPIC-type PPIASE domain
Seqid=NZ_CP035541.1;Start=2393533;Strand=-	PF07223.13	0.17	11.9	149	169	UBA-like domain (DUF1421)
Seqid=NZ_CP035541.1;Start=2249013;Strand=-	PF05082.15	0.27	11.2	53	74	Rop-like
Seqid=NZ_CP035541.1;End=1532410;Strand=+	PF17231.4	0.13	11.9	64	103	Family of unknown function (DUF5305)
Seqid=NZ_CP035541.1;Start=1681301;Strand=-	PF05621.13	0.062	12.8	107	149	Bacterial TniB protein
Seqid=NZ_CP035541.1;End=709695;Strand=+	PF10518.11	3.9e-4	20.2	11	35	TAT (twin-arginine translocation) pathway signal sequence
Seqid=NZ_CP035541.1;Start=2061046;Strand=-	PF06445.17	1.1e-17	64.9	1	151	GyrI-like small molecule binding domain
Seqid=NZ_CP035541.1;Start=398421;Strand=-	PF19807.1	0.11	12.8	10	29	Family of unknown function (DUF6290)
Seqid=NZ_CP035541.1;End=2214766;Strand=+	PF13527.9	0.029	14.6	10	112	Acetyltransferase (GNAT) domain
