Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP025031.1;End=1870930;Strand=+	PF00237.21	0.19	12.1	3	85	Ribosomal protein L22p/L17e
Seqid=NZ_CP025031.1;Start=2085010;Strand=-	PF01073.21	0.3	10.2	43	73	3-beta hydroxysteroid dehydrogenase/isomerase family
Seqid=NZ_CP025031.1;End=1641832;Strand=+	PF02852.24	7.4e-34	116.4	348	456	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
Seqid=NZ_CP025031.1;End=925030;Strand=+	PF17762.3	2.3e-16	59.3	170	220	HTH domain found in ParB protein
Seqid=NZ_CP025031.1;Start=2195030;Strand=-	PF02421.20	1.2e-12	47.8	9	163	Ferrous iron transport protein B
Seqid=NZ_CP025031.1;Start=221346;Strand=-	PF18205.3	0.31	11	295	313	VPDSG-CTERM motif
Seqid=NZ_CP025031.1;Start=2011937;Strand=-	PF14316.8	0.0099	16.2	56	110	Domain of unknown function (DUF4381)
Seqid=NZ_CP025031.1;Start=799275;Strand=-	PF02390.19	0.67	9.5	42	80	Putative methyltransferase
Seqid=NZ_CP025031.1;Start=700421;Strand=-	PF13443.8	0.011	16.2	11	67	Cro/C1-type HTH DNA-binding domain
Seqid=NZ_CP025031.1;End=1745756;Strand=+	PF07693.16	0.033	13.5	159	206	KAP family P-loop domain
Seqid=NZ_CP025031.1;Start=2126832;Strand=-	PF00486.30	4.4e-28	97.3	155	231	Transcriptional regulatory protein, C terminal
Seqid=NZ_CP025031.1;End=1191995;Strand=+	PF07501.14	3.5e-13	49.9	348	418	G5 domain
Seqid=NZ_CP025031.1;End=302944;Strand=+	PF09726.11	0.075	11.7	29	112	Macoilin family
Seqid=NZ_CP025033.1;Start=16081;Strand=-	PF13304.8	0.19	11.6	408	466	AAA domain, putative AbiEii toxin, Type IV TA system
Seqid=NZ_CP025031.1;End=951931;Strand=+	PF10279.11	0.2	12.2	105	213	Latarcin precursor
Seqid=NZ_CP025031.1;End=1393237;Strand=+	PF16321.7	1.3e-27	95.3	132	187	Sigma 54 modulation/S30EA ribosomal protein C terminus
Seqid=NZ_CP025031.1;Start=568347;Strand=-	PF00532.23	1.5e-25	90.3	61	309	Periplasmic binding proteins and sugar binding domain of LacI family
Seqid=NZ_CP025031.1;Start=2254605;Strand=-	PF01966.24	2.7e-10	40.6	56	154	HD domain
Seqid=NZ_CP025031.1;Start=2299049;Strand=-	PF02224.20	0.19	11.5	162	193	Cytidylate kinase
Seqid=NZ_CP025031.1;Start=721754;Strand=-	PF13450.8	0.053	13.9	185	215	NAD(P)-binding Rossmann-like domain
Seqid=NZ_CP025031.1;Start=2064879;Strand=-	PF11974.10	0.0027	17.8	2477	2509	Bacterial alpha-2-macroglobulin MG3 domain
Seqid=NZ_CP025031.1;Start=485968;Strand=-	PF08388.13	0.058	13.6	35	58	Group II intron, maturase-specific domain
Seqid=NZ_CP025031.1;Start=158642;Strand=-	PF01637.20	0.0035	17.4	2	47	ATPase domain predominantly from Archaea
Seqid=NZ_CP025031.1;End=336596;Strand=+	PF00107.28	6.7e-30	103.9	178	305	Zinc-binding dehydrogenase
Seqid=NZ_CP025031.1;End=1132159;Strand=+	PF01637.20	0.42	10.6	184	219	ATPase domain predominantly from Archaea
Seqid=NZ_CP025031.1;End=1925936;Strand=+	PF07450.13	0.0098	16.3	15	93	Formate hydrogenlyase maturation protein HycH
Seqid=NZ_CP025031.1;Start=2064879;Strand=-	PF11974.10	0.062	13.4	679	709	Bacterial alpha-2-macroglobulin MG3 domain
Seqid=NZ_CP025031.1;Start=297554;Strand=-	PF01956.18	0.27	11	38	64	Integral membrane protein EMC3/TMCO1-like
Seqid=NZ_CP025031.1;End=817979;Strand=+	PF09457.12	0.073	13.1	26	39	FIP domain
Seqid=NZ_CP025031.1;Start=940191;Strand=-	PF03193.18	0.12	12.4	19	64	RsgA GTPase
Seqid=NZ_CP025031.1;End=1059158;Strand=+	PF13434.8	0.0035	16.6	239	389	L-lysine 6-monooxygenase (NADPH-requiring)
Seqid=NZ_CP025031.1;Start=933497;Strand=-	PF13304.8	0.43	10.4	154	204	AAA domain, putative AbiEii toxin, Type IV TA system
Seqid=NZ_CP025031.1;End=1159027;Strand=+	PF04548.18	0.0021	17.5	57	94	AIG1 family
Seqid=NZ_CP025031.1;End=311724;Strand=+	PF08241.14	1.5e-16	60.9	46	145	Methyltransferase domain
Seqid=NZ_CP025031.1;End=2065533;Strand=+	PF10727.11	0.026	14.5	10	40	Rossmann-like domain
Seqid=NZ_CP025031.1;End=192763;Strand=+	PF13404.8	0.3	11.1	13	42	AsnC-type helix-turn-helix domain
Seqid=NZ_CP025031.1;Start=1434109;Strand=-	PF13515.8	0.027	14.7	12	52	Fusaric acid resistance protein-like
Seqid=NZ_CP025031.1;End=1631902;Strand=+	PF03435.20	0.044	14.1	6	88	Saccharopine dehydrogenase NADP binding domain
Seqid=NZ_CP025031.1;End=645302;Strand=+	PF13481.8	0.51	9.9	20	47	AAA domain
Seqid=NZ_CP025031.1;Start=39519;Strand=-	PF01197.20	6.5e-27	93.6	1	79	Ribosomal protein L31
Seqid=NZ_CP025031.1;Start=2038959;Strand=-	PF13671.8	0.36	11.1	27	47	AAA domain
Seqid=NZ_CP025031.1;Start=933497;Strand=-	PF00005.29	2.9e-32	112.2	22	170	ABC transporter
Seqid=NZ_CP025031.1;Start=162754;Strand=-	PF13555.8	0.13	12.2	26	57	P-loop containing region of AAA domain
Seqid=NZ_CP025031.1;End=1724448;Strand=+	PF07969.13	3.9e-5	23.4	41	65	Amidohydrolase family
Seqid=NZ_CP025031.1;End=2002566;Strand=+	PF00591.23	3.1e-76	256.4	76	322	Glycosyl transferase family, a/b domain
Seqid=NZ_CP025031.1;End=497007;Strand=+	PF04321.19	0.0018	17.5	27	137	RmlD substrate binding domain
Seqid=NZ_CP025031.1;Start=2381007;Strand=-	PF18216.3	0.31	10.8	56	75	N-formyltransferase dimerization C-terminal domain
Seqid=NZ_CP025031.1;Start=236895;Strand=-	PF13521.8	0.13	12.6	35	52	AAA domain
Seqid=NZ_CP025031.1;End=1895626;Strand=+	PF13175.8	0.0015	18.3	18	47	AAA ATPase domain
Seqid=NZ_CP025031.1;End=1524788;Strand=+	PF05673.15	0.0051	16	170	279	Protein of unknown function (DUF815)
Seqid=NZ_CP025031.1;End=1862995;Strand=+	PF07129.13	0.0092	15.9	126	146	Protein of unknown function (DUF1381)
Seqid=NZ_CP025031.1;Start=831039;Strand=-	PF17124.7	4.6e-5	23.4	21	146	ThiJ/PfpI family-like
Seqid=NZ_CP025031.1;Start=2265099;Strand=-	PF20030.1	0.2	10.8	92	197	MoxR domain in the MoxR-vWA-beta-propeller ternary systems
Seqid=NZ_CP025031.1;Start=163360;Strand=-	PF14163.8	0.94	9	189	215	Super-infection exclusion protein B
Seqid=NZ_CP025031.1;Start=2464217;Strand=-	PF13175.8	0.0012	18.6	17	115	AAA ATPase domain
Seqid=NZ_CP025031.1;End=548624;Strand=+	PF05102.14	0.28	11.3	42	66	holin, BlyA family
Seqid=NZ_CP025031.1;End=1913663;Strand=+	PF04355.15	0.032	14.1	64	105	SmpA / OmlA family
Seqid=NZ_CP025031.1;End=1184960;Strand=+	PF04650.19	2.7e-12	46.3	18	43	YSIRK type signal peptide
Seqid=NZ_CP025033.1;End=28013;Strand=+	PF09242.13	0.31	11.5	128	170	Flavocytochrome c sulphide dehydrogenase, flavin-binding
Seqid=NZ_CP025031.1;End=1526428;Strand=+	PF02797.17	0.0013	18.8	215	310	Chalcone and stilbene synthases, C-terminal domain
Seqid=NZ_CP025031.1;Start=1852106;Strand=-	PF12728.9	0.61	10.4	26	45	Helix-turn-helix domain
Seqid=NZ_CP025031.1;Start=2098109;Strand=-	PF13412.8	0.031	13.9	20	47	Winged helix-turn-helix DNA-binding
Seqid=NZ_CP025031.1;Start=1486438;Strand=-	PF03334.16	2.3e-22	79.1	15	96	Na+/H+ antiporter subunit
Seqid=NZ_CP025031.1;Start=2262628;Strand=-	PF02699.17	1e-26	92.7	6	81	Preprotein translocase subunit
Seqid=NZ_CP025031.1;Start=256176;Strand=-	PF03486.16	0.011	14.6	66	121	HI0933-like protein
Seqid=NZ_CP025031.1;Start=731646;Strand=-	PF02852.24	2.7e-13	50.2	335	435	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
Seqid=NZ_CP025031.1;End=1303204;Strand=+	PF03739.16	0.0078	15.3	55	130	Lipopolysaccharide export system permease LptF/LptG
Seqid=NZ_CP025031.1;Start=2386208;Strand=-	PF12732.9	1.6e-6	28.6	11	72	YtxH-like protein
Seqid=NZ_CP025031.1;Start=506731;Strand=-	PF00732.21	3.3e-76	256.6	7	300	GMC oxidoreductase
Seqid=NZ_CP025031.1;End=457366;Strand=+	PF04129.14	0.061	12.1	26	58	Vps52 / Sac2 family
Seqid=NZ_CP025031.1;Start=184771;Strand=-	PF15147.8	0.35	11.8	38	104	Domain of unknown function (DUF4578)
