Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP035291.1;End=1046832;Strand=+	PF13560.8	6.3e-4	20.1	16	62	Helix-turn-helix domain
Seqid=NZ_CP035291.1;End=1046832;Strand=+	PF00157.19	0.095	12.8	12	33	Pou domain - N-terminal to homeobox domain
Seqid=NZ_CP035291.1;Start=1812684;Strand=-	PF13903.8	0.29	10.9	38	116	PMP-22/EMP/MP20/Claudin tight junction
Seqid=NZ_CP035292.1;End=11497;Strand=+	PF04545.18	0.036	13.7	160	199	Sigma-70, region 4
Seqid=NZ_CP035291.1;Start=2283794;Strand=-	PF16320.7	7.7e-21	73.6	4	49	Ribosomal protein L7/L12 dimerisation domain
Seqid=NZ_CP035291.1;End=979684;Strand=+	PF20092.1	0.75	10.3	190	353	Family of unknown function (DUF6483)
Seqid=NZ_CP035291.1;Start=1640543;Strand=-	PF02492.21	0.006	16.3	180	335	CobW/HypB/UreG, nucleotide-binding domain
Seqid=NZ_CP035291.1;End=1039658;Strand=+	PF13187.8	0.07	13.4	186	202	4Fe-4S dicluster domain
Seqid=NZ_CP035291.1;Start=2391174;Strand=-	PF06624.14	0.36	10.9	14	38	Ribosome associated membrane protein RAMP4
Seqid=NZ_CP035291.1;End=36558;Strand=+	PF08139.14	0.18	12.4	3	20	Prokaryotic membrane lipoprotein lipid attachment site
Seqid=NZ_CP035291.1;End=685702;Strand=+	PF00106.27	2.8e-41	141.2	51	235	short chain dehydrogenase
Seqid=NZ_CP035291.1;End=1324620;Strand=+	PF00910.24	0.013	16	132	177	RNA helicase
Seqid=NZ_CP035291.1;Start=161902;Strand=-	PF08437.12	0.51	10.5	1	26	Glycosyl transferase family 8 C-terminal
Seqid=NZ_CP035291.1;Start=488311;Strand=-	PF13508.9	1.4e-9	38.2	50	136	Acetyltransferase (GNAT) domain
Seqid=NZ_CP035291.1;End=2470370;Strand=+	PF00155.23	7.2e-8	32.1	35	226	Aminotransferase class I and II
Seqid=NZ_CP035291.1;Start=2351348;Strand=-	PF13649.8	1.9e-7	31.7	46	140	Methyltransferase domain
Seqid=NZ_CP035291.1;Start=2346540;Strand=-	PF00627.33	0.32	11	158	176	UBA/TS-N domain
Seqid=NZ_CP035291.1;End=1177194;Strand=+	PF01494.21	0.085	12.2	185	230	FAD binding domain
Seqid=NZ_CP035291.1;End=1210701;Strand=+	PF00158.28	0.18	11.6	94	132	Sigma-54 interaction domain
Seqid=NZ_CP035291.1;End=502402;Strand=+	PF00903.27	7.7e-8	32.7	142	256	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Seqid=NZ_CP035291.1;End=2213348;Strand=+	PF16549.7	0.09	12.9	63	107	Type II secretion system (T2SS) pilotin, S protein
Seqid=NZ_CP035291.1;End=173143;Strand=+	PF13601.8	0.0017	18.6	41	92	Winged helix DNA-binding domain
Seqid=NZ_CP035291.1;End=1327790;Strand=+	PF13671.8	0.11	12.7	11	45	AAA domain
Seqid=NZ_CP035291.1;End=1929182;Strand=+	PF13344.8	0.035	14.2	6	57	Haloacid dehalogenase-like hydrolase
Seqid=NZ_CP035291.1;End=1222574;Strand=+	PF01921.20	0.024	13.6	512	550	tRNA synthetases class I (K)
Seqid=NZ_CP035291.1;Start=1140238;Strand=-	PF09851.11	0.01	15.6	269	288	Short C-terminal domain
Seqid=NZ_CP035291.1;End=1279268;Strand=+	PF05148.17	0.13	12.2	19	106	Hypothetical methyltransferase
Seqid=NZ_CP035291.1;End=184034;Strand=+	PF00270.31	0.37	10.6	332	359	DEAD/DEAH box helicase
Seqid=NZ_CP035291.1;End=1291196;Strand=+	PF00012.22	2.7e-29	101.9	4	76	Hsp70 protein
Seqid=NZ_CP035291.1;End=407498;Strand=+	PF13419.8	1.5e-25	90.4	8	206	Haloacid dehalogenase-like hydrolase
Seqid=NZ_CP035291.1;Start=1998423;Strand=-	PF03960.17	2.3e-15	56.5	5	115	ArsC family
Seqid=NZ_CP035291.1;Start=924901;Strand=-	PF01935.19	0.24	11.6	347	379	Helicase HerA, central domain
Seqid=NZ_CP035291.1;Start=738093;Strand=-	PF12832.9	2.1e-5	23.6	40	173	MFS_1 like family
Seqid=NZ_CP035291.1;Start=2287571;Strand=-	PF00298.21	7.4e-28	97	74	142	Ribosomal protein L11, RNA binding domain
Seqid=NZ_CP035291.1;Start=1750066;Strand=-	PF04545.18	0.016	14.8	18	32	Sigma-70, region 4
Seqid=NZ_CP035291.1;Start=1550116;Strand=-	PF12728.9	0.18	12.2	25	43	Helix-turn-helix domain
Seqid=NZ_CP035291.1;End=1194832;Strand=+	PF14520.8	0.057	14.1	217	241	Helix-hairpin-helix domain
Seqid=NZ_CP035291.1;Start=924901;Strand=-	PF02367.19	0.15	12.1	352	379	Threonylcarbamoyl adenosine biosynthesis protein TsaE
Seqid=NZ_CP035291.1;Start=746267;Strand=-	PF12718.9	0.02	15.1	2	54	Tropomyosin like
Seqid=NZ_CP035291.1;Start=1110730;Strand=-	PF07992.16	8.9e-7	28.5	3	174	Pyridine nucleotide-disulphide oxidoreductase
Seqid=NZ_CP035291.1;End=666145;Strand=+	PF04519.15	0.32	11.4	125	182	Polymer-forming cytoskeletal
Seqid=NZ_CP035291.1;Start=1794940;Strand=-	PF19337.1	0.3	11	3	51	BMP and activin membrane-bound inhibitor homolog C-terminus
Seqid=NZ_CP035291.1;End=1380182;Strand=+	PF02283.18	0.056	13.1	9	79	Cobinamide kinase / cobinamide phosphate guanyltransferase
Seqid=NZ_CP035291.1;End=710003;Strand=+	PF00890.26	0.064	12.4	3	34	FAD binding domain
Seqid=NZ_CP035291.1;End=609070;Strand=+	PF13454.8	0.23	11.6	15	80	FAD-NAD(P)-binding
Seqid=NZ_CP035291.1;Start=2192419;Strand=-	PF06028.13	0.79	9.1	30	59	Alpha/beta hydrolase of unknown function (DUF915)
Seqid=NZ_CP035291.1;Start=1936128;Strand=-	PF13245.8	0.2	11.9	10	231	AAA domain
Seqid=NZ_CP035291.1;End=989414;Strand=+	PF19279.1	7.7e-18	64.9	153	282	YegS C-terminal NAD kinase beta sandwich-like domain
Seqid=NZ_CP035291.1;Start=2373111;Strand=-	PF09406.12	0.34	11.3	1146	1213	Protein of unknown function (DUF2004)
Seqid=NZ_CP035291.1;End=597203;Strand=+	PF18823.3	0.0042	17	124	175	Inorganic Pyrophosphatase
Seqid=NZ_CP035291.1;End=240706;Strand=+	PF01731.22	2.5e-6	27.7	163	213	Arylesterase
Seqid=NZ_CP035291.1;End=118014;Strand=+	PF14281.8	0.33	11.1	13	49	PD-(D/E)XK nuclease superfamily
Seqid=NZ_CP035292.1;End=20300;Strand=+	PF01105.26	0.24	11.4	1321	1383	emp24/gp25L/p24 family/GOLD
Seqid=NZ_CP035291.1;Start=755963;Strand=-	PF05434.13	0.3	11	82	128	TMEM9
Seqid=NZ_CP035291.1;Start=2204025;Strand=-	PF14015.8	0.42	11.2	78	133	Protein of unknown function (DUF4231)
Seqid=NZ_CP035291.1;Start=1573547;Strand=-	PF01910.19	2.3e-16	59.6	8	81	Thiamine-binding protein
Seqid=NZ_CP035291.1;End=1827913;Strand=+	PF13401.8	0.065	13.6	280	412	AAA domain
Seqid=NZ_CP035291.1;Start=1688111;Strand=-	PF09334.13	3e-16	59.3	61	203	tRNA synthetases class I (M)
Seqid=NZ_CP035291.1;Start=2252171;Strand=-	PF13673.9	1.6e-9	37.9	30	122	Acetyltransferase (GNAT) domain
Seqid=NZ_CP035291.1;End=9255;Strand=+	PF03989.15	2.4e-10	39.8	662	707	DNA gyrase C-terminal domain, beta-propeller
Seqid=NZ_CP035291.1;End=1038353;Strand=+	PF10640.11	0.0032	16.5	31	124	mRNA capping enzyme N-terminal, ATPase and guanylyltransferase
Seqid=NZ_CP035291.1;End=1074023;Strand=+	PF01956.18	0.16	11.7	12	82	Integral membrane protein EMC3/TMCO1-like
Seqid=NZ_CP035291.1;End=979684;Strand=+	PF13086.8	0.012	15.5	8	110	AAA domain
Seqid=NZ_CP035291.1;End=1329070;Strand=+	PF14578.8	0.052	13.5	281	315	Elongation factor Tu domain 4
Seqid=NZ_CP035291.1;End=500449;Strand=+	PF03551.16	0.018	15.1	70	105	Transcriptional regulator PadR-like family
Seqid=NZ_CP035291.1;End=675927;Strand=+	PF13545.8	0.0095	16	12	30	Crp-like helix-turn-helix domain
