Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP049091.1;Start=2149222;Strand=-	PF06426.16	0.012	16.1	29	69	Serine acetyltransferase, N-terminal
Seqid=NZ_CP049091.1;Start=1451682;Strand=-	PF13458.8	0.18	11.6	70	113	Periplasmic binding protein
Seqid=NZ_CP049091.1;Start=1518219;Strand=-	PF14149.8	0.17	11.9	931	946	YhfH-like protein
Seqid=NZ_CP049091.1;End=877003;Strand=+	PF08281.14	0.32	10.8	79	102	Sigma-70, region 4
Seqid=NZ_CP049091.1;End=1346493;Strand=+	PF11974.10	0.057	13.6	1606	1638	Bacterial alpha-2-macroglobulin MG3 domain
Seqid=NZ_CP049094.1;Start=12884;Strand=-	PF03418.16	0.29	10.1	107	153	Germination protease
Seqid=NZ_CP049091.1;Start=2187024;Strand=-	PF04977.17	1.2e-16	60.3	41	118	Septum formation initiator
Seqid=NZ_CP049091.1;Start=1656530;Strand=-	PF13375.8	0.02	14.9	1086	1134	RnfC Barrel sandwich hybrid domain
Seqid=NZ_CP049091.1;End=289273;Strand=+	PF12698.9	0.014	14.7	25	193	ABC-2 family transporter protein
Seqid=NZ_CP049091.1;Start=897016;Strand=-	PF08776.13	0.31	10.7	254	269	VASP tetramerisation domain
Seqid=NZ_CP049091.1;Start=203651;Strand=-	PF01926.25	9.6e-4	19.3	34	57	50S ribosome-binding GTPase
Seqid=NZ_CP049091.1;End=1068273;Strand=+	PF00083.26	2.8e-7	29.9	21	164	Sugar (and other) transporter
Seqid=NZ_CP049091.1;Start=2207958;Strand=-	PF14775.8	0.32	11.2	33	54	Sperm tail C-terminal domain
Seqid=NZ_CP049091.1;End=510179;Strand=+	PF02254.20	0.12	12.8	14	66	TrkA-N domain
Seqid=NZ_CP049091.1;Start=1256467;Strand=-	PF19744.1	0.14	12.6	6	65	Family of unknown function (DUF6232)
Seqid=NZ_CP049091.1;End=383267;Strand=+	PF12831.9	1.4e-5	24.7	6	44	FAD dependent oxidoreductase
Seqid=NZ_CP049091.1;End=1236342;Strand=+	PF03167.21	0.011	15.8	34	106	Uracil DNA glycosylase superfamily
Seqid=NZ_CP049091.1;Start=1578074;Strand=-	PF17125.7	0.67	10.6	155	238	N-terminal domain of 16S rRNA methyltransferase RsmF
Seqid=NZ_CP049091.1;End=667324;Strand=+	PF00994.26	1e-26	93.4	197	335	Probable molybdopterin binding domain
Seqid=NZ_CP049091.1;End=1171025;Strand=+	PF03721.16	0.01	15.5	32	75	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain
Seqid=NZ_CP049091.1;End=2310212;Strand=+	PF13304.8	0.27	11.1	156	207	AAA domain, putative AbiEii toxin, Type IV TA system
Seqid=NZ_CP049091.1;Start=1485642;Strand=-	PF16326.7	0.42	11	60	83	ABC transporter C-terminal domain
Seqid=NZ_CP049091.1;Start=1979561;Strand=-	PF13673.9	0.016	15.2	78	135	Acetyltransferase (GNAT) domain
Seqid=NZ_CP049091.1;Start=838513;Strand=-	PF03807.19	4e-7	30.7	24	92	NADP oxidoreductase coenzyme F420-dependent
Seqid=NZ_CP049091.1;End=877003;Strand=+	PF13518.8	0.0082	16.4	80	103	Helix-turn-helix domain
Seqid=NZ_CP049091.1;End=1144000;Strand=+	PF10458.11	3.3e-21	75.4	810	875	Valyl tRNA synthetase tRNA binding arm
Seqid=NZ_CP049091.1;End=1132922;Strand=+	PF08477.15	0.52	10.7	28	59	Ras of Complex, Roc, domain of DAPkinase
Seqid=NZ_CP049091.1;End=1121891;Strand=+	PF00308.20	4.5e-7	30	153	227	Bacterial dnaA protein
Seqid=NZ_CP049091.1;Start=1840517;Strand=-	PF19506.1	0.4	10.2	5	101	Family of unknown function (DUF6040)
Seqid=NZ_CP049091.1;Start=503043;Strand=-	PF00072.26	1.7e-25	89.4	4	113	Response regulator receiver domain
Seqid=NZ_CP049091.1;Start=2042995;Strand=-	PF12146.10	1e-18	67.6	34	256	Serine aminopeptidase, S33
Seqid=NZ_CP049091.1;End=2056866;Strand=+	PF08461.12	0.057	13.5	52	101	Ribonuclease R winged-helix domain
Seqid=NZ_CP049091.1;Start=1843428;Strand=-	PF00266.21	1.2e-162	541.2	32	401	Aminotransferase class-V
Seqid=NZ_CP049091.1;Start=113010;Strand=-	PF04235.14	3e-32	111.9	234	386	Protein of unknown function (DUF418)
Seqid=NZ_CP049091.1;End=670129;Strand=+	PF13353.8	1.2e-5	25.9	23	128	4Fe-4S single cluster domain
Seqid=NZ_CP049091.1;Start=208153;Strand=-	PF09587.12	0.12	11.9	96	203	Bacterial capsule synthesis protein PGA_cap
Seqid=NZ_CP049091.1;End=1224713;Strand=+	PF00350.25	0.0057	16.8	9	43	Dynamin family
Seqid=NZ_CP049091.1;End=2114979;Strand=+	PF00910.24	0.073	13.6	15	39	RNA helicase
Seqid=NZ_CP049091.1;Start=1973062;Strand=-	PF13476.8	0.092	13.3	366	386	AAA domain
Seqid=NZ_CP049091.1;End=1100948;Strand=+	PF03959.15	0.19	11.4	146	274	Serine hydrolase (FSH1)
Seqid=NZ_CP049091.1;End=823864;Strand=+	PF13744.8	0.77	9.8	215	250	Helix-turn-helix domain
Seqid=NZ_CP049091.1;Start=189666;Strand=-	PF17773.3	1.4e-27	95.9	3	94	UPF0176 acylphosphatase like domain
Seqid=NZ_CP049091.1;Start=1489908;Strand=-	PF02776.20	2.3e-7	30.7	250	392	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
Seqid=NZ_CP049091.1;End=795615;Strand=+	PF01427.19	0.25	11.2	381	435	D-ala-D-ala dipeptidase
Seqid=NZ_CP049091.1;End=466617;Strand=+	PF00370.23	2.3e-73	246.9	3	247	FGGY family of carbohydrate kinases, N-terminal domain
Seqid=NZ_CP049091.1;End=292569;Strand=+	PF13727.8	2e-17	63.8	72	244	CoA-binding domain
Seqid=NZ_CP049091.1;Start=1441745;Strand=-	PF17255.4	0.21	12	4	57	EbsA-like protein
Seqid=NZ_CP049091.1;End=923051;Strand=+	PF08241.14	0.0063	17.2	318	372	Methyltransferase domain
Seqid=NZ_CP049091.1;End=1309180;Strand=+	PF05148.17	1.3e-4	22	99	155	Hypothetical methyltransferase
Seqid=NZ_CP049091.1;Start=1581235;Strand=-	PF04851.17	3.1e-18	66.4	267	431	Type III restriction enzyme, res subunit
Seqid=NZ_CP049091.1;End=747635;Strand=+	PF19293.1	5.3e-9	36.2	38	110	CdaA N-terminal transmembrane domain
Seqid=NZ_CP049091.1;End=703586;Strand=+	PF00437.22	0.49	9.5	27	64	Type II/IV secretion system protein
Seqid=NZ_CP049091.1;End=240172;Strand=+	PF10471.11	0.25	12.3	2	48	Anaphase-promoting complex APC subunit CDC26
Seqid=NZ_CP049091.1;End=1918670;Strand=+	PF12773.9	0.016	15.3	39	97	Double zinc ribbon
Seqid=NZ_CP049091.1;End=694161;Strand=+	PF18912.2	0.017	15.1	23	48	Double zinc ribbon domain
Seqid=NZ_CP049091.1;Start=1470694;Strand=-	PF01926.25	4.5e-17	62.3	210	329	50S ribosome-binding GTPase
Seqid=NZ_CP049091.1;Start=1726278;Strand=-	PF14361.8	0.066	14	63	138	RsbT co-antagonist protein rsbRD N-terminal domain
Seqid=NZ_CP049094.1;Start=12884;Strand=-	PF00440.25	1.1e-9	38	12	56	Bacterial regulatory proteins, tetR family
Seqid=NZ_CP049091.1;End=130147;Strand=+	PF13434.8	0.0075	15.5	154	224	L-lysine 6-monooxygenase (NADPH-requiring)
Seqid=NZ_CP049091.1;Start=2186494;Strand=-	PF02599.18	0.3	11.1	47	74	Global regulator protein family
Seqid=NZ_CP049091.1;End=1332239;Strand=+	PF02183.20	0.093	13	71	86	Homeobox associated leucine zipper
Seqid=NZ_CP049091.1;Start=1685016;Strand=-	PF13478.8	0.18	12.4	6	75	XdhC Rossmann domain
Seqid=NZ_CP049091.1;End=611048;Strand=+	PF07695.13	0.016	15.2	38	109	7TM diverse intracellular signalling
Seqid=NZ_CP049091.1;Start=1886233;Strand=-	PF03486.16	7.1e-5	21.8	6	37	HI0933-like protein
Seqid=NZ_CP049091.1;Start=1552149;Strand=-	PF05239.18	1.1e-11	44.7	94	166	PRC-barrel domain
Seqid=NZ_CP049091.1;Start=1904167;Strand=-	PF02482.21	7.6e-27	94	5	96	Sigma 54 modulation protein / S30EA ribosomal protein
Seqid=NZ_CP049091.1;Start=452980;Strand=-	PF13450.8	0.15	12.4	28	55	NAD(P)-binding Rossmann-like domain
Seqid=NZ_CP049091.1;End=536085;Strand=+	PF01637.20	0.31	11	23	50	ATPase domain predominantly from Archaea
Seqid=NZ_CP049091.1;Start=1630725;Strand=-	PF03486.16	4.8e-4	19	5	32	HI0933-like protein
Seqid=NZ_CP049091.1;Start=2129516;Strand=-	PF00009.29	1.6e-69	233.4	8	280	Elongation factor Tu GTP binding domain
Seqid=NZ_CP049091.1;End=618549;Strand=+	PF04002.17	0.33	11	18	44	RadC-like JAB domain
Seqid=NZ_CP049091.1;End=1098567;Strand=+	PF02811.21	3e-22	79.9	4	121	PHP domain
Seqid=NZ_CP049091.1;Start=1008410;Strand=-	PF04542.16	1.4e-7	31.3	7	73	Sigma-70 region 2
Seqid=NZ_CP049091.1;End=1373258;Strand=+	PF00092.30	1.9e-5	25.1	439	594	von Willebrand factor type A domain
Seqid=NZ_CP049091.1;End=1152348;Strand=+	PF04670.14	0.061	12.8	166	302	Gtr1/RagA G protein conserved region
Seqid=NZ_CP049091.1;Start=2049592;Strand=-	PF07695.13	0.088	12.8	21	143	7TM diverse intracellular signalling
Seqid=NZ_CP049091.1;End=2083840;Strand=+	PF06738.14	3.7e-9	36.4	4	132	Putative threonine/serine exporter
Seqid=NZ_CP049091.1;End=1054306;Strand=+	PF00517.19	0.36	10.8	48	146	Retroviral envelope protein
Seqid=NZ_CP049091.1;Start=1920949;Strand=-	PF13514.8	0.0023	17.6	24	51	AAA domain
Seqid=NZ_CP049091.1;End=1078741;Strand=+	PF13653.8	0.042	14.4	222	246	Glycerophosphoryl diester phosphodiesterase family
Seqid=NZ_CP049091.1;End=1035031;Strand=+	PF07564.13	2.7e-20	72.3	2386	2461	Domain of Unknown Function (DUF1542)
Seqid=NZ_CP049091.1;End=1209238;Strand=+	PF03144.27	1.3e-11	44.8	214	284	Elongation factor Tu domain 2
Seqid=NZ_CP049091.1;End=715923;Strand=+	PF06028.13	8e-85	284.3	31	282	Alpha/beta hydrolase of unknown function (DUF915)
Seqid=NZ_CP049091.1;End=1303192;Strand=+	PF01712.21	0.35	10.8	6	73	Deoxynucleoside kinase
Seqid=NZ_CP049091.1;Start=1971404;Strand=-	PF01583.22	0.17	11.9	357	404	Adenylylsulphate kinase
Seqid=NZ_CP049091.1;End=154512;Strand=+	PF01006.22	0.17	11.8	328	350	Hepatitis C virus non-structural protein NS4a
Seqid=NZ_CP049091.1;End=1235442;Strand=+	PF00270.31	1.6e-36	125.8	28	192	DEAD/DEAH box helicase
Seqid=NZ_CP049091.1;Start=2243946;Strand=-	PF00209.20	1.2e-26	93.7	165	454	Sodium:neurotransmitter symporter family
Seqid=NZ_CP049091.1;Start=2137013;Strand=-	PF04565.18	1.5e-28	98.8	468	536	RNA polymerase Rpb2, domain 3
Seqid=NZ_CP049091.1;End=412404;Strand=+	PF10654.11	0.098	12.7	309	373	Protein of unknown function (DUF2481)
Seqid=NZ_CP049091.1;Start=1622443;Strand=-	PF06413.13	0.4	10.6	246	333	Neugrin
Seqid=NZ_CP049091.1;End=1067620;Strand=+	PF01047.24	8.5e-10	38.5	11	65	MarR family
Seqid=NZ_CP049091.1;Start=1867089;Strand=-	PF07497.14	0.014	15.4	76	129	Rho termination factor, RNA-binding domain
Seqid=NZ_CP049091.1;Start=454931;Strand=-	PF02254.20	0.03	14.6	4	63	TrkA-N domain
Seqid=NZ_CP049091.1;Start=1461364;Strand=-	PF13191.8	0.15	12.5	26	147	AAA ATPase domain
Seqid=NZ_CP049091.1;End=1132117;Strand=+	PF02562.18	0.13	11.8	113	131	PhoH-like protein
