Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP063443.1;Start=157853;Strand=-	PF07650.19	0.06	13.3	219	243	KH domain
Seqid=NZ_CP063443.1;Start=200208;Strand=-	PF13495.8	1.2e-7	32.2	10	83	Phage integrase, N-terminal SAM-like domain
Seqid=NZ_CP063443.1;End=2644972;Strand=+	PF07992.16	1.6e-60	205	6	333	Pyridine nucleotide-disulphide oxidoreductase
Seqid=NZ_CP063443.1;End=1630554;Strand=+	PF05043.15	0.5	11.1	33	65	Mga helix-turn-helix domain
Seqid=NZ_CP063443.1;Start=1501632;Strand=-	PF05043.15	0.004	17.8	11	55	Mga helix-turn-helix domain
Seqid=NZ_CP063443.1;Start=1519185;Strand=-	PF01580.20	0.012	15.1	27	53	FtsK/SpoIIIE family
Seqid=NZ_CP063443.1;Start=1076975;Strand=-	PF00528.24	6.7e-8	32.6	371	535	Binding-protein-dependent transport system inner membrane component
Seqid=NZ_CP063443.1;End=2685944;Strand=+	PF09243.12	5.4e-4	19.3	52	131	Mitochondrial small ribosomal subunit Rsm22
Seqid=NZ_CP063443.1;End=2233991;Strand=+	PF04143.16	6.5e-97	324.9	21	332	Sulphur transport
Seqid=NZ_CP063443.1;Start=643582;Strand=-	PF12344.10	5.6e-22	77.4	553	594	Ultra-violet resistance protein B
Seqid=NZ_CP063443.1;End=1301621;Strand=+	PF13195.8	7e-37	126.9	387	558	Protein of unknown function (DUF4011)
Seqid=NZ_CP063443.1;Start=1422271;Strand=-	PF06967.13	0.023	14.7	23	57	Mo-dependent nitrogenase C-terminus
Seqid=NZ_CP063443.1;End=36845;Strand=+	PF15460.8	0.52	10.5	202	241	Something about silencing, SAS, complex subunit 4
Seqid=NZ_CP063443.1;Start=125131;Strand=-	PF11145.10	0.057	11.4	14	77	Protein of unknown function (DUF2921)
Seqid=NZ_CP063443.1;Start=852789;Strand=-	PF00768.22	1.3e-8	34.7	149	288	D-alanyl-D-alanine carboxypeptidase
Seqid=NZ_CP063443.1;End=2519954;Strand=+	PF08264.15	3.8e-41	140.7	604	749	Anticodon-binding domain of tRNA ligase
Seqid=NZ_CP063443.1;End=2641449;Strand=+	PF18493.3	0.42	10.8	39	80	Domain of unknown function (DUF5617)
Seqid=NZ_CP063443.1;End=1432480;Strand=+	PF03806.15	1e-6	27.4	288	429	AbgT putative transporter family
Seqid=NZ_CP063443.1;Start=921577;Strand=-	PF05729.14	0.025	14.6	90	114	NACHT domain
Seqid=NZ_CP063443.1;Start=417823;Strand=-	PF07478.15	2.5e-4	20.7	122	277	D-ala D-ala ligase C-terminus
Seqid=NZ_CP063444.1;Start=7618;Strand=-	PF01909.25	0.068	13.6	21	66	Nucleotidyltransferase domain
Seqid=NZ_CP063443.1;End=1118446;Strand=+	PF12216.10	0.062	13	66	135	Immune evasion protein
Seqid=NZ_CP063443.1;Start=1742526;Strand=-	PF00892.22	4.4e-16	59.4	146	280	EamA-like transporter family
Seqid=NZ_CP063443.1;End=1362074;Strand=+	PF10657.11	0.34	11.2	378	456	Photosystem P840 reaction centre protein PscD
Seqid=NZ_CP063443.1;Start=612311;Strand=-	PF01381.24	6.2e-9	35.9	28	81	Helix-turn-helix
Seqid=NZ_CP063443.1;End=2623595;Strand=+	PF13481.8	0.0053	16.4	128	154	AAA domain
Seqid=NZ_CP063443.1;Start=691435;Strand=-	PF03193.18	3.2e-4	20.7	307	374	RsgA GTPase
Seqid=NZ_CP063443.1;End=2495598;Strand=+	PF07535.14	0.84	9.9	137	167	DBF zinc finger
Seqid=NZ_CP063443.1;Start=724145;Strand=-	PF00931.24	0.096	12	352	409	NB-ARC domain
Seqid=NZ_CP063443.1;Start=81875;Strand=-	PF00874.22	8.1e-18	64.6	189	276	PRD domain
Seqid=NZ_CP063443.1;Start=1519185;Strand=-	PF01656.25	0.3	11.2	39	57	CobQ/CobB/MinD/ParA nucleotide binding domain
Seqid=NZ_CP063443.1;End=1387314;Strand=+	PF00571.30	0.13	12.8	218	270	CBS domain
Seqid=NZ_CP063443.1;End=1641252;Strand=+	PF13614.8	1.8e-14	54.1	47	203	AAA domain
Seqid=NZ_CP063443.1;End=1241782;Strand=+	PF06589.13	0.011	16	11	82	Circumsporozoite-related antigen (CRA)
Seqid=NZ_CP063443.1;End=1065078;Strand=+	PF04199.15	5.4e-34	117.5	19	185	Putative cyclase
Seqid=NZ_CP063443.1;Start=1109724;Strand=-	PF09339.12	0.022	14.7	157	186	IclR helix-turn-helix domain
Seqid=NZ_CP063443.1;End=2560137;Strand=+	PF03652.17	5.1e-42	143.6	5	140	Holliday junction resolvase
Seqid=NZ_CP063443.1;Start=2051763;Strand=-	PF00083.26	6.9e-13	48.4	39	189	Sugar (and other) transporter
Seqid=NZ_CP063443.1;End=1045988;Strand=+	PF14178.8	0.6	10.1	455	487	YppF-like protein
Seqid=NZ_CP063443.1;Start=641252;Strand=-	PF04428.16	0.2	11.4	35	65	Choline kinase N terminus
Seqid=NZ_CP063443.1;Start=1138324;Strand=-	PF07820.14	0.65	10.5	110	140	TraC-like protein
Seqid=NZ_CP063443.1;Start=394468;Strand=-	PF04304.15	6.7e-32	110	2	113	Protein of unknown function (DUF454)
Seqid=NZ_CP063443.1;End=667034;Strand=+	PF04229.16	3.3e-18	66.4	32	188	GrpB protein
Seqid=NZ_CP063444.1;Start=41906;Strand=-	PF12728.9	0.0096	16.2	15	51	Helix-turn-helix domain
Seqid=NZ_CP063443.1;Start=1056133;Strand=-	PF10279.11	0.0041	17.6	102	237	Latarcin precursor
Seqid=NZ_CP063443.1;End=1117924;Strand=+	PF05043.15	0.43	11.3	171	200	Mga helix-turn-helix domain
Seqid=NZ_CP063443.1;End=2080315;Strand=+	PF03297.17	0.13	12.5	165	196	S25 ribosomal protein
Seqid=NZ_CP063443.1;End=1241782;Strand=+	PF12569.10	0.18	10.8	31	99	NMDA receptor-regulated protein 1
Seqid=NZ_CP063443.1;End=1387900;Strand=+	PF01047.24	0.0045	16.9	15	61	MarR family
Seqid=NZ_CP063443.1;Start=269036;Strand=-	PF08264.15	5.9e-28	97.9	682	835	Anticodon-binding domain of tRNA ligase
Seqid=NZ_CP063443.1;End=2668453;Strand=+	PF13275.8	1.5e-5	24.9	23	59	S4 domain
Seqid=NZ_CP063443.1;Start=1154927;Strand=-	PF17834.3	0.065	13.3	192	220	Beta-sandwich domain in beta galactosidase
Seqid=NZ_CP063443.1;Start=1055069;Strand=-	PF00924.20	2.1e-39	135.3	75	277	Mechanosensitive ion channel
Seqid=NZ_CP063443.1;Start=923346;Strand=-	PF01695.19	0.061	12.9	541	561	IstB-like ATP binding protein
Seqid=NZ_CP063443.1;End=436776;Strand=+	PF02201.20	0.59	10.1	337	357	SWIB/MDM2 domain
Seqid=NZ_CP063443.1;End=1159159;Strand=+	PF06486.13	1.2e-14	54.9	53	125	Protein of unknown function (DUF1093)
Seqid=NZ_CP063443.1;End=1925686;Strand=+	PF01262.23	0.49	9.8	153	217	Alanine dehydrogenase/PNT, C-terminal domain
Seqid=NZ_CP063443.1;End=2408599;Strand=+	PF17353.4	0.17	11.7	8	51	Family of unknown function (DUF5381)
Seqid=NZ_CP063443.1;Start=416855;Strand=-	PF19559.1	0.013	14.8	5	60	Family of unknown function (DUF6081)
Seqid=NZ_CP063443.1;End=2528309;Strand=+	PF02421.20	5.9e-8	32.5	164	325	Ferrous iron transport protein B
Seqid=NZ_CP063443.1;End=1010923;Strand=+	PF07907.13	3.6e-65	219.9	131	362	YibE/F-like protein
Seqid=NZ_CP063443.1;End=1376505;Strand=+	PF13238.8	0.21	12.2	9	60	AAA domain
Seqid=NZ_CP063443.1;End=5436;Strand=+	PF17936.3	0.011	16.1	1205	1264	Bacterial Ig domain
Seqid=NZ_CP063443.1;Start=477581;Strand=-	PF01432.22	1.2e-74	252.4	207	587	Peptidase family M3
Seqid=NZ_CP063443.1;End=2286044;Strand=+	PF03127.16	0.42	11	13	52	GAT domain
Seqid=NZ_CP063443.1;Start=987073;Strand=-	PF13523.8	2.3e-7	30.6	11	143	Acetyltransferase (GNAT) domain
Seqid=NZ_CP063443.1;Start=485184;Strand=-	PF03193.18	0.0031	17.5	28	72	RsgA GTPase
Seqid=NZ_CP063444.1;Start=34697;Strand=-	PF11211.10	0.026	14.5	6	29	Protein of unknown function (DUF2997)
Seqid=NZ_CP063444.1;End=52579;Strand=+	PF13304.8	0.15	11.9	360	378	AAA domain, putative AbiEii toxin, Type IV TA system
Seqid=NZ_CP063443.1;End=2591662;Strand=+	PF00684.21	1.5e-14	54.2	149	213	DnaJ central domain
Seqid=NZ_CP063443.1;End=16065;Strand=+	PF13673.9	1.2e-7	31.8	30	146	Acetyltransferase (GNAT) domain
Seqid=NZ_CP063443.1;Start=998139;Strand=-	PF07702.15	8e-22	77.7	95	235	UTRA domain
Seqid=NZ_CP063443.1;End=1643840;Strand=+	PF18039.3	0.12	12.5	572	594	UBA-like domain
Seqid=NZ_CP063443.1;Start=618440;Strand=-	PF00756.22	0.18	11.5	87	108	Putative esterase
Seqid=NZ_CP063443.1;End=2257762;Strand=+	PF00001.23	0.41	10	19	138	7 transmembrane receptor (rhodopsin family)
Seqid=NZ_CP063443.1;Start=2189611;Strand=-	PF01080.19	0.064	12.1	3	53	Presenilin
Seqid=NZ_CP063443.1;Start=616021;Strand=-	PF08206.13	3.6e-10	39.5	152	203	Ribonuclease B OB domain
Seqid=NZ_CP063443.1;End=2080315;Strand=+	PF13207.8	1.1e-30	106.9	6	128	AAA domain
Seqid=NZ_CP063443.1;Start=2484553;Strand=-	PF14273.8	0.074	13	35	65	Domain of unknown function (DUF4360)
Seqid=NZ_CP063443.1;End=145351;Strand=+	PF01893.18	0.012	16	26	48	Uncharacterised protein family UPF0058
Seqid=NZ_CP063443.1;End=2679829;Strand=+	PF13189.8	5.8e-10	39.7	6	178	Cytidylate kinase-like family
Seqid=NZ_CP063443.1;Start=580662;Strand=-	PF16372.7	0.15	12	251	304	Domain of unknown function (DUF4984)
Seqid=NZ_CP063443.1;Start=566256;Strand=-	PF03841.15	0.0012	18	156	250	L-seryl-tRNA selenium transferase
Seqid=NZ_CP063443.1;End=1139237;Strand=+	PF10554.11	0.15	12.6	29	72	Ash protein family
Seqid=NZ_CP063443.1;End=1273208;Strand=+	PF07563.13	4e-26	90.7	60	110	Protein of unknown function (DUF1541)
Seqid=NZ_CP063443.1;End=1410995;Strand=+	PF13476.8	0.22	12.1	23	49	AAA domain
Seqid=NZ_CP063443.1;Start=1557611;Strand=-	PF15569.8	0.25	11.5	77	145	Immunity protein 40
Seqid=NZ_CP063443.1;Start=752109;Strand=-	PF00135.30	0.64	8.9	137	176	Carboxylesterase family
Seqid=NZ_CP063443.1;Start=441472;Strand=-	PF06028.13	0.18	11.2	69	100	Alpha/beta hydrolase of unknown function (DUF915)
Seqid=NZ_CP063443.1;End=2407576;Strand=+	PF07564.13	1.6e-14	53.8	684	759	Domain of Unknown Function (DUF1542)
Seqid=NZ_CP063443.1;Start=706784;Strand=-	PF01595.22	5.3e-54	182.6	11	203	Cyclin M transmembrane N-terminal domain
Seqid=NZ_CP063443.1;End=1622621;Strand=+	PF08965.12	0.17	12.1	92	164	Domain of unknown function (DUF1870)
Seqid=NZ_CP063443.1;End=1836942;Strand=+	PF11833.10	0.085	12.6	23	87	Protein CHAPERONE-LIKE PROTEIN OF POR1-like
Seqid=NZ_CP063443.1;End=2466183;Strand=+	PF02882.21	0.0046	16.4	228	321	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
Seqid=NZ_CP063443.1;End=2050010;Strand=+	PF02348.21	3.5e-4	20.7	3	110	Cytidylyltransferase
Seqid=NZ_CP063443.1;End=1081627;Strand=+	PF02463.21	1.4e-5	24.8	54	226	RecF/RecN/SMC N terminal domain
Seqid=NZ_CP063443.1;Start=768242;Strand=-	PF13748.8	2.6e-5	23.9	101	181	ABC transporter transmembrane region
Seqid=NZ_CP063443.1;Start=2221340;Strand=-	PF03446.17	2e-6	28.2	24	108	NAD binding domain of 6-phosphogluconate dehydrogenase
Seqid=NZ_CP063443.1;End=2346012;Strand=+	PF03874.18	0.25	11.7	8	57	RNA polymerase Rpb4
Seqid=NZ_CP063443.1;End=782;Strand=+	PF02739.18	1.2e-29	103.3	3	91	5'-3' exonuclease, N-terminal resolvase-like domain
Seqid=NZ_CP063443.1;End=20745;Strand=+	PF18719.3	5.5e-13	49.4	37	152	ArlS sensor domain
Seqid=NZ_CP063443.1;End=2278994;Strand=+	PF04851.17	0.023	14.8	18	89	Type III restriction enzyme, res subunit
Seqid=NZ_CP063443.1;Start=1225527;Strand=-	PF13384.8	0.079	13	41	54	Homeodomain-like domain
Seqid=NZ_CP063443.1;End=332958;Strand=+	PF11685.10	0.021	14.3	4	27	Protein of unknown function (DUF3281)
Seqid=NZ_CP063443.1;Start=2165044;Strand=-	PF15922.7	0.13	11.6	3	47	YjeJ-like
Seqid=NZ_CP063443.1;Start=344031;Strand=-	PF00488.23	3.2e-33	115.4	333	513	MutS domain V
Seqid=NZ_CP063443.1;Start=1205659;Strand=-	PF07799.14	2e-25	89.6	21	156	Protein of unknown function (DUF1643)
Seqid=NZ_CP063444.1;End=10839;Strand=+	PF06455.13	0.039	13.6	6	41	NADH dehydrogenase subunit 5 C-terminus
Seqid=NZ_CP063443.1;End=2703469;Strand=+	PF10130.11	0.083	13.2	67	163	PIN domain
Seqid=NZ_CP063443.1;End=1497849;Strand=+	PF13204.8	0.087	12.6	188	282	Protein of unknown function (DUF4038)
Seqid=NZ_CP063443.1;End=2227165;Strand=+	PF16749.7	0.056	13.7	10	40	Arterivirus nonstructural protein 7 alpha
Seqid=NZ_CP063443.1;Start=509127;Strand=-	PF07303.15	0.12	13.2	311	370	Occludin homology domain
Seqid=NZ_CP063443.1;End=2537839;Strand=+	PF00767.20	0.26	10.9	18	64	Potyvirus coat protein
Seqid=NZ_CP063443.1;End=1184472;Strand=+	PF05437.14	1.4e-18	66.9	8	106	Branched-chain amino acid transport protein (AzlD)
Seqid=NZ_CP063443.1;End=1845045;Strand=+	PF12804.9	3.9e-10	40.4	14	166	MobA-like NTP transferase domain
Seqid=NZ_CP063443.1;Start=355166;Strand=-	PF13248.8	6e-5	22.4	27	48	zinc-ribbon domain
Seqid=NZ_CP063443.1;End=1349403;Strand=+	PF05729.14	0.026	14.5	314	350	NACHT domain
Seqid=NZ_CP063443.1;Start=698270;Strand=-	PF02682.18	1.8e-39	135.7	1	212	Carboxyltransferase domain, subdomain C and D
Seqid=NZ_CP063443.1;End=2537839;Strand=+	PF01368.22	2e-20	73.3	89	233	DHH family
Seqid=NZ_CP063443.1;End=1629826;Strand=+	PF07724.16	6.4e-4	20	283	356	AAA domain (Cdc48 subfamily)
Seqid=NZ_CP063443.1;End=1349403;Strand=+	PF13671.8	0.17	12.2	314	333	AAA domain
Seqid=NZ_CP063443.1;Start=760200;Strand=-	PF13238.8	0.014	16	67	101	AAA domain
Seqid=NZ_CP063443.1;Start=476190;Strand=-	PF10694.11	0.34	11.5	162	204	Protein of unknown function (DUF2500)
