Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP084235.1;Start=489873;Strand=-	PF00486.30	1.1e-28	99.2	144	219	Transcriptional regulatory protein, C terminal
Seqid=NZ_CP084235.1;Start=454942;Strand=-	PF02826.21	0.025	14	4	64	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
Seqid=NZ_CP084235.1;End=1992454;Strand=+	PF01476.22	7.9e-16	57.9	29	70	LysM domain
Seqid=NZ_CP084235.1;End=1259648;Strand=+	PF13533.8	4.3e-7	29.7	131	159	Biotin-lipoyl like
Seqid=NZ_CP084235.1;End=366024;Strand=+	PF04114.16	0.0037	16.4	38	134	Gaa1-like, GPI transamidase component
Seqid=NZ_CP084235.1;End=1411625;Strand=+	PF02826.21	0.29	10.5	2	73	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
Seqid=NZ_CP084235.1;Start=1106228;Strand=-	PF13520.8	1.3e-44	152.8	16	433	Amino acid permease
Seqid=NZ_CP084235.1;Start=1706712;Strand=-	PF02700.16	7.7e-24	83.8	4	79	Phosphoribosylformylglycinamidine (FGAM) synthase
Seqid=NZ_CP084235.1;End=670139;Strand=+	PF04055.23	1.7e-26	93.7	18	182	Radical SAM superfamily
Seqid=NZ_CP084235.1;End=141260;Strand=+	PF05816.13	0.13	11.5	70	107	Toxic anion resistance protein (TelA)
Seqid=NZ_CP084235.1;Start=2026302;Strand=-	PF12802.9	1.1e-5	25.4	9	55	MarR family
Seqid=NZ_CP084235.1;End=1159385;Strand=+	PF02355.18	7.5e-63	211.4	548	735	Protein export membrane protein
Seqid=NZ_CP084235.1;End=1951943;Strand=+	PF11675.10	0.048	13.4	65	119	Protein of unknown function (DUF3271)
Seqid=NZ_CP084235.1;End=60110;Strand=+	PF13303.8	1.1e-90	304.2	15	347	Phosphotransferase system, EIIC
Seqid=NZ_CP084235.1;Start=1831688;Strand=-	PF03446.17	0.0014	18.9	149	255	NAD binding domain of 6-phosphogluconate dehydrogenase
Seqid=NZ_CP084235.1;End=1179193;Strand=+	PF07719.19	5.6e-6	26.2	75	103	Tetratricopeptide repeat
Seqid=NZ_CP084235.1;Start=1590089;Strand=-	PF02786.19	3.3e-79	265.4	128	333	Carbamoyl-phosphate synthase L chain, ATP binding domain
Seqid=NZ_CP084235.1;End=351143;Strand=+	PF17213.5	0.041	14.1	5	36	Hydin Adenylate kinase-like domain
Seqid=NZ_CP084235.1;End=2114913;Strand=+	PF13191.8	0.038	14.4	13	58	AAA ATPase domain
Seqid=NZ_CP084235.1;Start=1996446;Strand=-	PF20030.1	0.75	8.9	27	63	MoxR domain in the MoxR-vWA-beta-propeller ternary systems
Seqid=NZ_CP084235.1;Start=2314483;Strand=-	PF01381.24	2.3e-14	53.3	14	68	Helix-turn-helix
Seqid=NZ_CP084235.1;End=753469;Strand=+	PF18808.3	0.21	12.1	173	211	Importin repeat
Seqid=NZ_CP084235.1;End=499277;Strand=+	PF13304.8	0.0061	16.5	146	231	AAA domain, putative AbiEii toxin, Type IV TA system
Seqid=NZ_CP084235.1;End=1004072;Strand=+	PF02950.19	0.76	10.9	16	70	Conotoxin
Seqid=NZ_CP084235.1;End=1179193;Strand=+	PF00515.30	6.9e-5	22.6	177	210	Tetratricopeptide repeat
Seqid=NZ_CP084235.1;Start=1518137;Strand=-	PF13482.8	0.0074	16.3	424	562	RNase_H superfamily
Seqid=NZ_CP084235.1;End=1185325;Strand=+	PF03652.17	5.7e-42	143.5	5	140	Holliday junction resolvase
Seqid=NZ_CP084235.1;End=75096;Strand=+	PF13489.8	4.9e-13	49.3	20	183	Methyltransferase domain
Seqid=NZ_CP084235.1;End=885190;Strand=+	PF01591.20	0.06	12.7	2	59	6-phosphofructo-2-kinase
Seqid=NZ_CP084235.1;Start=1556414;Strand=-	PF13304.8	1.3e-6	28.6	37	81	AAA domain, putative AbiEii toxin, Type IV TA system
Seqid=NZ_CP084235.1;End=72517;Strand=+	PF01926.25	0.31	11.2	8	47	50S ribosome-binding GTPase
Seqid=NZ_CP084235.1;Start=558747;Strand=-	PF02082.22	0.065	13.5	41	85	Iron-dependent Transcriptional regulator
Seqid=NZ_CP084235.1;Start=1574123;Strand=-	PF19926.1	0.25	10.9	42	95	Family of unknown function (DUF6389)
