Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NC_007168.1;Start=1712564;Strand=-	PF08222.13	2.9e-30	103.7	198	255	CodY helix-turn-helix domain
Seqid=NC_007168.1;Start=250072;Strand=-	PF13379.8	0.031	14.1	11	86	NMT1-like family
Seqid=NC_007168.1;Start=2274163;Strand=-	PF01566.20	0.012	14.7	62	181	Natural resistance-associated macrophage protein
Seqid=NC_007168.1;End=817113;Strand=+	PF01131.22	1.4e-104	350.5	152	569	DNA topoisomerase
Seqid=NC_007168.1;End=140126;Strand=+	PF10111.11	5e-8	32.8	6	107	Glycosyltransferase like family 2
Seqid=NC_007168.1;Start=2049076;Strand=-	PF02826.21	3.3e-4	20.1	203	246	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
Seqid=NC_007168.1;Start=1928606;Strand=-	PF01071.21	3e-67	226.2	108	296	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain
Seqid=NC_007168.1;Start=1439210;Strand=-	PF02781.18	1.2e-115	385.8	196	492	Glucose-6-phosphate dehydrogenase, C-terminal domain
Seqid=NC_007168.1;End=841693;Strand=+	PF01978.21	0.0014	18.6	12	55	Sugar-specific transcriptional regulator TrmB
Seqid=NC_007168.1;Start=2189976;Strand=-	PF09216.12	0.072	13	7	51	Pfg27
Seqid=NC_007168.1;Start=687815;Strand=-	PF16230.7	8.9e-30	102.8	61	131	Domain of unknown function (DUF4889)
Seqid=NC_007168.1;End=1416225;Strand=+	PF00557.26	2.1e-64	217.2	136	339	Metallopeptidase family M24
Seqid=NC_007168.1;Start=86906;Strand=-	PF13542.8	0.12	11.9	101	148	Helix-turn-helix domain of transposase family ISL3
Seqid=NC_007168.1;End=172992;Strand=+	PF13384.8	0.13	12.3	27	50	Homeodomain-like domain
Seqid=NC_007168.1;Start=1550977;Strand=-	PF00848.21	0.2	11.6	174	211	Ring hydroxylating alpha subunit (catalytic domain)
Seqid=NC_007168.1;Start=1645857;Strand=-	PF13167.8	5.9e-29	100.7	36	123	GTP-binding GTPase N-terminal
Seqid=NC_007168.1;End=2456686;Strand=+	PF01546.30	1.7e-31	109.6	76	371	Peptidase family M20/M25/M40
Seqid=NC_007168.1;Start=1678073;Strand=-	PF09972.11	0.11	11.4	33	135	Predicted membrane protein (DUF2207)
Seqid=NC_007168.1;Start=1821811;Strand=-	PF06791.15	2.1e-4	21.2	489	617	Prophage tail length tape measure protein
Seqid=NC_007168.1;Start=52978;Strand=-	PF01180.23	6e-4	19.2	204	263	Dihydroorotate dehydrogenase
Seqid=NC_007168.1;End=1187570;Strand=+	PF07564.13	2.6e-21	75.6	2074	2149	Domain of Unknown Function (DUF1542)
Seqid=NC_007168.1;Start=985900;Strand=-	PF02776.20	2.4e-52	177.1	40	199	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
Seqid=NC_007168.1;Start=2526956;Strand=-	PF13847.8	0.0043	16.9	48	108	Methyltransferase domain
Seqid=NC_007168.1;Start=2460485;Strand=-	PF13690.8	0.47	10.7	30	77	Chemotaxis phosphatase CheX
Seqid=NC_007168.1;Start=2159219;Strand=-	PF00005.29	1.4e-8	35.4	622	858	ABC transporter
Seqid=NC_007168.1;End=836946;Strand=+	PF01935.19	0.092	12.9	36	50	Helicase HerA, central domain
Seqid=NC_007168.1;Start=2602912;Strand=-	PF12022.10	0.39	11.1	2	47	Domain of unknown function (DUF3510)
Seqid=NC_007168.1;Start=2162061;Strand=-	PF12775.9	0.12	12	30	63	P-loop containing dynein motor region
Seqid=NC_007168.1;Start=263900;Strand=-	PF01597.21	1.4e-14	54.2	16	107	Glycine cleavage H-protein
Seqid=NC_007168.1;End=1050275;Strand=+	PF04257.16	4.5e-4	18.7	493	668	Exodeoxyribonuclease V, gamma subunit
Seqid=NC_007168.1;End=1311925;Strand=+	PF06309.13	0.28	11.4	10	77	Torsin
Seqid=NC_007168.1;End=2222137;Strand=+	PF01507.21	0.017	15.3	11	65	Phosphoadenosine phosphosulfate reductase family
