Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP077270.1;Start=459798;Strand=-	PF07819.15	0.0043	16.9	85	124	PGAP1-like protein
Seqid=NZ_CP077270.1;End=2150685;Strand=+	PF00589.24	2.3e-51	174.1	110	281	Phage integrase family
Seqid=NZ_CP077270.1;End=2072932;Strand=+	PF16675.7	0.31	11.5	239	298	KIX-binding domain of forkhead box O, CR2
Seqid=NZ_CP077270.1;Start=450710;Strand=-	PF00662.22	0.003	17.6	73	101	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
Seqid=NZ_CP077270.1;Start=47653;Strand=-	PF18922.2	0.17	11.7	8	48	Protein of unknown function (DUF5672)
Seqid=NZ_CP077270.1;Start=424072;Strand=-	PF09796.11	0.49	10.6	112	143	Ubiquinol-cytochrome-c reductase complex subunit (QCR10)
Seqid=NZ_CP077270.1;End=1912256;Strand=+	PF17854.3	4.8e-31	107	839	937	FtsK alpha domain
Seqid=NZ_CP077270.1;End=975484;Strand=+	PF08279.14	0.02	14.9	15	38	HTH domain
Seqid=NZ_CP077270.1;End=2280;Strand=+	PF03644.15	0.015	14.9	11	38	Glycosyl hydrolase family 85
Seqid=NZ_CP077270.1;End=1222038;Strand=+	PF01946.19	0.16	11.2	4	40	Thi4 family
Seqid=NZ_CP077272.1;Start=4401;Strand=-	PF18024.3	0.57	10	8	29	Helix-turn-helix domain
Seqid=NZ_CP077270.1;End=1710155;Strand=+	PF03807.19	0.77	10.5	88	171	NADP oxidoreductase coenzyme F420-dependent
Seqid=NZ_CP077270.1;End=1140123;Strand=+	PF10883.10	0.071	13.5	39	93	Protein of unknown function (DUF2681)
Seqid=NZ_CP077270.1;Start=391063;Strand=-	PF00270.31	0.031	14.1	360	507	DEAD/DEAH box helicase
Seqid=NZ_CP077270.1;End=954934;Strand=+	PF04820.16	0.73	8.7	19	55	Tryptophan halogenase
Seqid=NZ_CP077270.1;End=114895;Strand=+	PF15418.8	0.046	14.1	69	115	Domain of unknown function (DUF4625)
Seqid=NZ_CP077270.1;End=1303039;Strand=+	PF13453.8	0.91	9	198	211	Transcription factor zinc-finger
Seqid=NZ_CP077270.1;Start=2365169;Strand=-	PF13479.8	0.0033	17.3	71	116	AAA domain
Seqid=NZ_CP077270.1;Start=1681630;Strand=-	PF08533.12	0.14	12	11	25	Beta-galactosidase C-terminal domain
Seqid=NZ_CP077270.1;End=1845698;Strand=+	PF07992.16	0.0053	16.1	3	41	Pyridine nucleotide-disulphide oxidoreductase
Seqid=NZ_CP077270.1;End=2017341;Strand=+	PF00158.28	0.55	10	105	134	Sigma-54 interaction domain
Seqid=NZ_CP077272.1;End=15189;Strand=+	PF16983.7	0.065	13.7	24	129	Molybdate transporter of MFS superfamily
Seqid=NZ_CP077270.1;Start=244395;Strand=-	PF01934.19	6.4e-17	61.6	23	126	Protein of unknown function DUF86
Seqid=NZ_CP077270.1;End=786352;Strand=+	PF00308.20	2.5e-103	344.7	115	331	Bacterial dnaA protein
Seqid=NZ_CP077270.1;Start=615410;Strand=-	PF01406.21	3.5e-10	39.8	8	137	tRNA synthetases class I (C) catalytic domain
Seqid=NZ_CP077270.1;Start=516881;Strand=-	PF14439.8	0.0013	18.9	72	105	Bd3614-like deaminase
Seqid=NZ_CP077270.1;End=2128067;Strand=+	PF04513.14	0.98	9.5	241	314	Baculovirus polyhedron envelope protein, PEP, C terminus
Seqid=NZ_CP077270.1;Start=826111;Strand=-	PF19579.1	0.12	12.4	5	55	Bacteriodetes cell division protein (FtsL-like)
Seqid=NZ_CP077270.1;Start=765282;Strand=-	PF10814.10	0.34	11.3	70	109	Cell wall synthesis protein CwsA
Seqid=NZ_CP077270.1;Start=1326637;Strand=-	PF02347.18	0.011	14.7	96	217	Glycine cleavage system P-protein
Seqid=NZ_CP077270.1;Start=2446205;Strand=-	PF01728.21	0.0058	16.9	247	388	FtsJ-like methyltransferase
Seqid=NZ_CP077270.1;End=482036;Strand=+	PF03721.16	0.06	13	163	194	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain
