Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP071508.1;Start=1055097;Strand=-	PF13180.8	4.4e-18	65.5	309	399	PDZ domain
Seqid=NZ_CP071508.1;End=679731;Strand=+	PF13412.8	0.027	14.1	16	49	Winged helix-turn-helix DNA-binding
Seqid=NZ_CP071508.1;Start=2271869;Strand=-	PF14362.8	0.32	10.3	15	133	Domain of unknown function (DUF4407)
Seqid=NZ_CP071508.1;End=277402;Strand=+	PF00910.24	0.32	11.5	37	100	RNA helicase
Seqid=NZ_CP071508.1;End=999153;Strand=+	PF05302.13	0.21	11.5	39	97	Protein of unknown function (DUF720)
Seqid=NZ_CP071508.1;Start=1937355;Strand=-	PF02008.22	0.42	10.8	386	403	CXXC zinc finger domain
Seqid=NZ_CP071508.1;Start=2148740;Strand=-	PF04563.17	9.8e-30	103.7	28	453	RNA polymerase beta subunit
Seqid=NZ_CP071508.1;End=1239586;Strand=+	PF13671.8	0.095	13	11	47	AAA domain
Seqid=NZ_CP071508.1;Start=1004818;Strand=-	PF01619.20	2.1e-31	109.6	48	295	Proline dehydrogenase
Seqid=NZ_CP071509.1;Start=13274;Strand=-	PF13309.8	0.44	10.8	3	24	HTH domain
Seqid=NZ_CP071508.1;Start=2141243;Strand=-	PF14492.8	4.6e-33	113.2	403	476	Elongation Factor G, domain III
Seqid=NZ_CP071508.1;Start=1562201;Strand=-	PF00910.24	0.009	16.5	160	214	RNA helicase
Seqid=NZ_CP071508.1;End=1382133;Strand=+	PF01895.21	1.6e-15	57.4	122	203	PhoU domain
Seqid=NZ_CP071508.1;Start=409769;Strand=-	PF00171.24	2.2e-158	527.7	23	479	Aldehyde dehydrogenase family
Seqid=NZ_CP071508.1;End=899171;Strand=+	PF01443.20	0.28	11	545	610	Viral (Superfamily 1) RNA helicase
Seqid=NZ_CP071508.1;Start=1961222;Strand=-	PF07690.18	6.8e-9	35.2	234	375	Major Facilitator Superfamily
Seqid=NZ_CP071508.1;Start=1544353;Strand=-	PF17216.5	0.029	14.2	227	290	Rrp44-like cold shock domain
Seqid=NZ_CP071508.1;End=580995;Strand=+	PF13404.8	0.061	13.3	13	29	AsnC-type helix-turn-helix domain
Seqid=NZ_CP071508.1;End=726635;Strand=+	PF01656.25	5.8e-14	52.3	113	155	CobQ/CobB/MinD/ParA nucleotide binding domain
Seqid=NZ_CP071508.1;End=850207;Strand=+	PF17547.4	0.4	10.1	69	127	Family of unknown function (DUF5462)
