Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP084229.1;End=770711;Strand=+	PF01071.21	0.026	14.4	156	220	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain
Seqid=NZ_CP084229.1;Start=1531279;Strand=-	PF01978.21	0.0071	16.3	202	233	Sugar-specific transcriptional regulator TrmB
Seqid=NZ_CP084229.1;End=1179233;Strand=+	PF13432.8	0.001	19.6	77	101	Tetratricopeptide repeat
Seqid=NZ_CP084229.1;End=193784;Strand=+	PF00408.22	1.9e-7	31.3	478	525	Phosphoglucomutase/phosphomannomutase, C-terminal domain
Seqid=NZ_CP084229.1;End=1665180;Strand=+	PF14015.8	0.23	12	9	64	Protein of unknown function (DUF4231)
Seqid=NZ_CP084229.1;End=593932;Strand=+	PF13604.8	0.098	12.5	31	63	AAA domain
Seqid=NZ_CP084229.1;End=1289332;Strand=+	PF12554.10	0.027	14.3	48	78	Mitotic-spindle organizing gamma-tubulin ring associated
Seqid=NZ_CP084229.1;End=794104;Strand=+	PF00213.20	1.3e-40	139.4	4	174	ATP synthase delta (OSCP) subunit
Seqid=NZ_CP084229.1;End=79104;Strand=+	PF03193.18	0.19	11.7	33	78	RsgA GTPase
Seqid=NZ_CP084229.1;End=990988;Strand=+	PF01208.19	7e-117	390.5	4	341	Uroporphyrinogen decarboxylase (URO-D)
Seqid=NZ_CP084229.1;End=534671;Strand=+	PF16407.7	0.031	14.6	66	152	PKD-like family
Seqid=NZ_CP084229.1;Start=2124605;Strand=-	PF13302.9	1.8e-12	48.2	2	145	Acetyltransferase (GNAT) domain
Seqid=NZ_CP084229.1;End=1186729;Strand=+	PF05175.16	3.3e-6	26.9	39	126	Methyltransferase small domain
Seqid=NZ_CP084229.1;End=1143961;Strand=+	PF13603.8	1.6e-8	34.4	242	305	Leucyl-tRNA synthetase, Domain 2
Seqid=NZ_CP084229.1;Start=1635962;Strand=-	PF16999.7	0.12	12.9	517	594	Vacuolar (H+)-ATPase G subunit
Seqid=NZ_CP084229.1;End=1139174;Strand=+	PF00155.23	0.021	14.1	167	344	Aminotransferase class I and II
Seqid=NZ_CP084229.1;End=1198805;Strand=+	PF00009.29	1	9	162	188	Elongation factor Tu GTP binding domain
Seqid=NZ_CP084229.1;End=616059;Strand=+	PF00491.23	7.1e-47	160.3	46	309	Arginase family
Seqid=NZ_CP084229.1;Start=2051683;Strand=-	PF00133.24	0.0012	17.2	372	411	tRNA synthetases class I (I, L, M and V)
Seqid=NZ_CP084229.1;End=798748;Strand=+	PF08510.14	0.15	12.1	8	58	PIG-P
Seqid=NZ_CP084229.1;End=923012;Strand=+	PF01209.20	0.067	12.6	296	372	ubiE/COQ5 methyltransferase family
Seqid=NZ_CP084229.1;Start=1564611;Strand=-	PF17191.6	3.9e-20	72.1	14	172	RecG wedge domain
Seqid=NZ_CP084229.1;Start=2227731;Strand=-	PF14691.8	1.7e-21	76.2	25	140	Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster
Seqid=NZ_CP084229.1;Start=1773433;Strand=-	PF13401.8	0.11	12.9	44	109	AAA domain
Seqid=NZ_CP084229.1;Start=2005437;Strand=-	PF01606.18	0.16	11.9	244	300	Arterivirus envelope protein
Seqid=NZ_CP084229.1;End=1268322;Strand=+	PF02852.24	3.2e-26	91.8	353	462	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
Seqid=NZ_CP084229.1;Start=2124174;Strand=-	PF14815.8	0.039	14	7	61	NUDIX domain
