Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP011116.1;Start=986770;Strand=-	PF17026.7	0.31	11.3	81	110	Putative ribonucleoprotein zinc-finger pf C4 type
Seqid=NZ_CP011116.1;End=694341;Strand=+	PF13187.8	2.7e-5	24.3	149	207	4Fe-4S dicluster domain
Seqid=NZ_CP011116.1;End=814246;Strand=+	PF00702.28	0.12	12.8	26	71	haloacid dehalogenase-like hydrolase
Seqid=NZ_CP011116.1;End=1821481;Strand=+	PF07521.14	2.9e-9	36.9	356	407	Zn-dependent metallo-hydrolase RNA specificity domain
Seqid=NZ_CP011116.1;Start=1955843;Strand=-	PF00899.23	0.14	11.4	207	244	ThiF family
Seqid=NZ_CP011116.1;Start=1589679;Strand=-	PF10226.11	0.044	13.5	17	106	CCDC85 family
Seqid=NZ_CP011116.1;End=341145;Strand=+	PF13191.8	0.0027	18.2	32	54	AAA ATPase domain
Seqid=NZ_CP011116.1;End=1377074;Strand=+	PF12822.9	3.5e-26	92.4	13	180	ECF transporter, substrate-specific component
Seqid=NZ_CP011116.1;End=600102;Strand=+	PF12838.9	0.041	14.6	15	33	4Fe-4S dicluster domain
Seqid=NZ_CP011116.1;Start=2208973;Strand=-	PF02656.17	0.13	12.8	12	66	Domain of unknown function (DUF202)
Seqid=NZ_CP011116.1;End=1786140;Strand=+	PF08170.14	0.3	11.5	298	358	POPLD (NUC188) domain
Seqid=NZ_CP011116.1;End=1308970;Strand=+	PF03979.16	1.1e-15	57.5	29	85	Sigma-70 factor, region 1.1
Seqid=NZ_CP011116.1;Start=1680242;Strand=-	PF13380.8	2e-4	22	26	128	CoA binding domain
Seqid=NZ_CP011116.1;End=1295388;Strand=+	PF04055.23	1.6e-29	103.5	152	321	Radical SAM superfamily
Seqid=NZ_CP011116.1;End=1254311;Strand=+	PF06552.14	0.13	12.1	181	231	Plant specific mitochondrial import receptor subunit TOM20
Seqid=NZ_CP011116.1;Start=2349317;Strand=-	PF19269.1	8.7e-30	104.1	342	486	Anticodon binding domain
Seqid=NZ_CP011116.1;Start=568080;Strand=-	PF02353.22	5e-7	29.4	33	159	Mycolic acid cyclopropane synthetase
Seqid=NZ_CP011116.1;End=997733;Strand=+	PF06569.13	2.8e-27	94.7	2	68	Protein of unknown function (DUF1128)
Seqid=NZ_CP011116.1;End=734820;Strand=+	PF06305.13	0.15	12	216	240	Lipopolysaccharide assembly protein A domain
Seqid=NZ_CP011116.1;End=368310;Strand=+	PF07992.16	0.34	10.2	7	39	Pyridine nucleotide-disulphide oxidoreductase
Seqid=NZ_CP011116.1;End=1277214;Strand=+	PF13679.8	0.0054	16.8	24	81	Methyltransferase domain
Seqid=NZ_CP011116.1;Start=2189974;Strand=-	PF03193.18	8.2e-4	19.4	354	393	RsgA GTPase
Seqid=NZ_CP011116.1;Start=2553955;Strand=-	PF13412.8	0.41	10.3	29	49	Winged helix-turn-helix DNA-binding
Seqid=NZ_CP011116.1;Start=636470;Strand=-	PF13692.8	2.4e-19	70.1	207	343	Glycosyl transferases group 1
Seqid=NZ_CP011116.1;Start=197612;Strand=-	PF06031.15	0.067	13	5	15	SERTA motif
Seqid=NZ_CP011116.1;Start=1805744;Strand=-	PF04515.14	0.45	9.8	101	150	Plasma-membrane choline transporter
Seqid=NZ_CP011116.1;Start=1972806;Strand=-	PF13454.8	0.1	12.7	13	61	FAD-NAD(P)-binding
