Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP025397.1;End=12153;Strand=+	PF14493.8	0.01	16.4	169	193	Helix-turn-helix domain
Seqid=NZ_CP025396.1;Start=2139278;Strand=-	PF00910.24	0.77	10.3	31	49	RNA helicase
Seqid=NZ_CP025396.1;End=1360092;Strand=+	PF03167.21	0.011	15.9	34	106	Uracil DNA glycosylase superfamily
Seqid=NZ_CP025396.1;End=1533124;Strand=+	PF01443.20	0.078	12.8	77	112	Viral (Superfamily 1) RNA helicase
Seqid=NZ_CP025396.1;End=66112;Strand=+	PF19187.2	0.0036	17.2	16	74	PafC helix-turn-helix domain
Seqid=NZ_CP025396.1;End=78651;Strand=+	PF07563.13	3.8e-26	90.8	60	110	Protein of unknown function (DUF1541)
Seqid=NZ_CP025396.1;End=369062;Strand=+	PF03435.20	6.7e-4	20	16	89	Saccharopine dehydrogenase NADP binding domain
Seqid=NZ_CP025396.1;End=75765;Strand=+	PF07618.13	0.18	11.5	34	53	Protein of unknown function (DUF1580)
Seqid=NZ_CP025396.1;End=1946962;Strand=+	PF01610.19	5.9e-51	173.6	164	417	Transposase
Seqid=NZ_CP025396.1;Start=1737178;Strand=-	PF01782.20	9.2e-26	90	4	86	RimM N-terminal domain
Seqid=NZ_CP025396.1;End=1417165;Strand=+	PF00849.24	1.3e-5	25.5	11	64	RNA pseudouridylate synthase
Seqid=NZ_CP025396.1;Start=1152232;Strand=-	PF01266.26	5.8e-4	19.6	4	37	FAD dependent oxidoreductase
Seqid=NZ_CP025396.1;End=479401;Strand=+	PF00106.27	1.8e-49	168	45	232	short chain dehydrogenase
Seqid=NZ_CP025396.1;End=1918758;Strand=+	PF12192.10	0.23	11.8	261	290	Fungal calcium binding protein
Seqid=NZ_CP025396.1;Start=1821762;Strand=-	PF02811.21	2.9e-11	44.2	346	448	PHP domain
Seqid=NZ_CP025396.1;End=1342249;Strand=+	PF02310.21	0.0085	16.2	40	102	B12 binding domain
Seqid=NZ_CP025396.1;End=1206680;Strand=+	PF02568.16	2e-63	213.7	175	371	Thiamine biosynthesis protein (ThiI)
Seqid=NZ_CP025396.1;End=1311487;Strand=+	PF13173.8	0.2	11.8	5	48	AAA domain
Seqid=NZ_CP025396.1;Start=1224516;Strand=-	PF03142.17	0.12	11	4	44	Chitin synthase
Seqid=NZ_CP025396.1;End=912118;Strand=+	PF07982.14	0.054	12.5	153	172	Herpes UL74 glycoproteins
Seqid=NZ_CP025396.1;Start=727984;Strand=-	PF02378.20	4e-33	114.9	127	408	Phosphotransferase system, EIIC
Seqid=NZ_CP025396.1;End=2244465;Strand=+	PF07872.13	0.18	11.6	36	59	Protein of unknown function (DUF1659)
Seqid=NZ_CP025396.1;Start=1381543;Strand=-	PF13965.8	0.54	8.7	5	49	dsRNA-gated channel SID-1
Seqid=NZ_CP025396.1;End=1485314;Strand=+	PF00164.27	0.28	10.9	827	862	Ribosomal protein S12/S23
Seqid=NZ_CP025396.1;Start=1554832;Strand=-	PF05545.13	0.019	15	491	514	Cbb3-type cytochrome oxidase component FixQ
Seqid=NZ_CP025396.1;End=394853;Strand=+	PF01507.21	8.5e-52	175.8	44	215	Phosphoadenosine phosphosulfate reductase family
Seqid=NZ_CP025396.1;Start=475499;Strand=-	PF01206.19	0.47	10.5	16	78	Sulfurtransferase TusA
Seqid=NZ_CP025396.1;Start=1976409;Strand=-	PF01935.19	0.44	10.7	604	637	Helicase HerA, central domain
Seqid=NZ_CP025396.1;End=66112;Strand=+	PF13280.8	9.2e-9	35.7	180	316	WYL domain
Seqid=NZ_CP025396.1;End=882097;Strand=+	PF13673.9	4.9e-5	23.4	58	151	Acetyltransferase (GNAT) domain
Seqid=NZ_CP025396.1;End=1359192;Strand=+	PF00271.33	1.4e-26	93.1	232	338	Helicase conserved C-terminal domain
