Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP013911.1;Start=1478222;Strand=-	PF00070.29	0.009	16.6	4	40	Pyridine nucleotide-disulphide oxidoreductase
Seqid=NZ_CP013911.1;End=1616600;Strand=+	PF13675.8	0.37	11	588	647	Type IV pili methyl-accepting chemotaxis transducer N-term
Seqid=NZ_CP013911.1;Start=1056359;Strand=-	PF17783.3	7.4e-22	77	231	288	CvfB-like winged helix domain
Seqid=NZ_CP013911.1;End=888488;Strand=+	PF04297.16	3.7e-40	136.3	12	109	Putative helix-turn-helix protein, YlxM / p13 like
Seqid=NZ_CP013911.1;Start=2476549;Strand=-	PF03193.18	0.055	13.5	502	536	RsgA GTPase
Seqid=NZ_CP013911.1;Start=1655303;Strand=-	PF05598.13	2.6e-14	53	49	117	Transposase domain (DUF772)
Seqid=NZ_CP013911.1;End=84066;Strand=+	PF12730.9	2.5e-5	24.4	162	273	ABC-2 family transporter protein
Seqid=NZ_CP013911.1;Start=1272492;Strand=-	PF03308.18	0.67	9	87	159	Methylmalonyl Co-A mutase-associated GTPase MeaB
Seqid=NZ_CP013911.1;Start=144114;Strand=-	PF03466.22	1e-9	38.2	92	274	LysR substrate binding domain
Seqid=NZ_CP013911.1;Start=2370276;Strand=-	PF01262.23	0.17	11.3	16	49	Alanine dehydrogenase/PNT, C-terminal domain
Seqid=NZ_CP013911.1;Start=1246834;Strand=-	PF13481.8	0.16	11.6	129	157	AAA domain
Seqid=NZ_CP013911.1;End=254888;Strand=+	PF01926.25	3.4e-4	20.8	15	120	50S ribosome-binding GTPase
Seqid=NZ_CP013911.1;Start=762813;Strand=-	PF01327.23	2.8e-43	147.3	22	189	Polypeptide deformylase
Seqid=NZ_CP013911.1;End=2315958;Strand=+	PF04131.16	3.7e-67	225.3	47	245	Putative N-acetylmannosamine-6-phosphate epimerase
Seqid=NZ_CP013911.1;Start=1084899;Strand=-	PF04206.14	0.28	10.6	148	185	Tetrahydromethanopterin S-methyltransferase, subunit E
Seqid=NZ_CP013911.1;End=1779630;Strand=+	PF02949.22	0.0016	17.6	4	48	7tm Odorant receptor
Seqid=NZ_CP013911.1;End=863625;Strand=+	PF18766.3	0.6	9.8	110	220	SWI2/SNF2 ATPase
Seqid=NZ_CP013911.1;End=832120;Strand=+	PF06723.15	1.9e-11	43.5	198	346	MreB/Mbl protein
Seqid=NZ_CP013911.1;End=369077;Strand=+	PF13238.8	0.72	10.5	367	399	AAA domain
Seqid=NZ_CP013911.1;End=2365812;Strand=+	PF00359.24	6.5e-5	23	543	641	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
Seqid=NZ_CP013911.1;End=20220;Strand=+	PF00583.27	3.2e-8	33.9	57	150	Acetyltransferase (GNAT) family
Seqid=NZ_CP013911.1;End=1954816;Strand=+	PF08984.13	0.084	13.1	11	61	Domain of unknown function (DUF1858)
Seqid=NZ_CP013911.1;Start=319161;Strand=-	PF13738.8	1.2e-13	51.1	118	292	Pyridine nucleotide-disulphide oxidoreductase
Seqid=NZ_CP013911.1;End=378618;Strand=+	PF09818.11	0.0056	15.6	69	94	Predicted ATPase of the ABC class
Seqid=NZ_CP013911.1;Start=1253081;Strand=-	PF03602.17	0.025	14.3	199	269	Conserved hypothetical protein 95
Seqid=NZ_CP013911.1;End=1542126;Strand=+	PF03824.18	3.2e-106	354.9	37	322	High-affinity nickel-transport protein
