Query	Hit	Evalue	Score	Start	Stop	Description
Seqid=NZ_CP045187.2;End=2228461;Strand=+	PF07687.16	1e-7	31.9	208	305	Peptidase dimerisation domain
Seqid=NZ_CP045187.2;End=731405;Strand=+	PF00083.26	5.8e-10	38.7	40	196	Sugar (and other) transporter
Seqid=NZ_CP045187.2;End=2650353;Strand=+	PF13238.8	0.09	13.4	42	76	AAA domain
Seqid=NZ_CP045187.2;Start=900041;Strand=-	PF06785.13	0.017	15.3	237	356	Uncharacterised protein family (UPF0242) N-terminus
Seqid=NZ_CP045187.2;End=1410966;Strand=+	PF03717.17	1e-41	143.3	66	303	Penicillin-binding Protein dimerisation domain
Seqid=NZ_CP045187.2;Start=2339088;Strand=-	PF02569.17	0.021	14.1	9	52	Pantoate-beta-alanine ligase
Seqid=NZ_CP045187.2;End=2684328;Strand=+	PF13238.8	0.033	14.8	35	71	AAA domain
Seqid=NZ_CP045187.2;Start=1787712;Strand=-	PF15282.8	0.25	11.4	1	47	BMP-2-inducible protein kinase C-terminus
Seqid=NZ_CP045187.2;End=1390348;Strand=+	PF00580.23	0.55	9.8	235	270	UvrD/REP helicase N-terminal domain
Seqid=NZ_CP045187.2;End=237610;Strand=+	PF07992.16	6.2e-66	222.7	18	324	Pyridine nucleotide-disulphide oxidoreductase
Seqid=NZ_CP045187.2;Start=1335195;Strand=-	PF13401.8	0.99	9.8	79	128	AAA domain
Seqid=NZ_CP045187.2;End=534141;Strand=+	PF02552.18	0.011	15.6	192	281	CO dehydrogenase beta subunit/acetyl-CoA synthase epsilon subunit
Seqid=NZ_CP045187.2;End=1030265;Strand=+	PF08279.14	0.52	10.4	85	128	HTH domain
Seqid=NZ_CP045187.2;Start=2311962;Strand=-	PF09302.13	0.11	12.5	71	138	XLF-Cernunnos, XRcc4-like factor, NHEJ component
Seqid=NZ_CP045187.2;Start=1912127;Strand=-	PF02737.20	0.0036	17.3	179	240	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
Seqid=NZ_CP045187.2;Start=1913537;Strand=-	PF05979.14	0.12	12.3	325	345	Bacterial protein of unknown function (DUF896)
Seqid=NZ_CP045187.2;Start=2107462;Strand=-	PF00364.24	0.02	14.8	45	78	Biotin-requiring enzyme
Seqid=NZ_CP045187.2;End=1281626;Strand=+	PF01113.22	0.058	13.6	4	36	Dihydrodipicolinate reductase, N-terminus
Seqid=NZ_CP045187.2;End=1156010;Strand=+	PF00923.21	2.3e-37	129	8	212	Transaldolase/Fructose-6-phosphate aldolase
Seqid=NZ_CP045187.2;Start=1779194;Strand=-	PF13549.8	1e-8	35	4	217	ATP-grasp domain
Seqid=NZ_CP045187.2;Start=2289986;Strand=-	PF01583.22	0.11	12.5	357	404	Adenylylsulphate kinase
Seqid=NZ_CP045187.2;End=2678731;Strand=+	PF00903.27	2.4e-12	47.3	7	125	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Seqid=NZ_CP045187.2;Start=1660643;Strand=-	PF00657.24	2.5e-7	31	134	331	GDSL-like Lipase/Acylhydrolase
Seqid=NZ_CP045187.2;Start=648945;Strand=-	PF01739.20	0.0092	15.5	86	145	CheR methyltransferase, SAM binding domain
Seqid=NZ_CP045187.2;End=619874;Strand=+	PF05244.13	0.042	13.3	193	273	Brucella outer membrane protein 2
Seqid=NZ_CP045187.2;Start=2643589;Strand=-	PF14291.8	0.011	15.3	55	131	Domain of unknown function (DUF4371)
Seqid=NZ_CP045187.2;End=2054110;Strand=+	PF00764.21	6.8e-167	555.7	6	389	Arginosuccinate synthase
Seqid=NZ_CP045187.2;Start=1910956;Strand=-	PF12844.9	1.2e-12	47.8	4	63	Helix-turn-helix domain
Seqid=NZ_CP045187.2;End=338110;Strand=+	PF00583.27	8.4e-15	55.1	23	146	Acetyltransferase (GNAT) family
Seqid=NZ_CP045187.2;Start=2164704;Strand=-	PF07438.13	6.9e-15	54.8	1	59	Protein of unknown function (DUF1514)
Seqid=NZ_CP045187.2;End=1169634;Strand=+	PF00872.20	7.8e-43	146.9	22	124	Transposase, Mutator family
Seqid=NZ_CP045187.2;End=396951;Strand=+	PF13407.8	3.5e-7	30.2	62	310	Periplasmic binding protein domain
Seqid=NZ_CP045187.2;Start=1724272;Strand=-	PF12072.10	2.9e-63	213	6	204	RNase Y N-terminal region
Seqid=NZ_CP045187.2;Start=140000;Strand=-	PF13401.8	0.41	11	3	28	AAA domain
Seqid=NZ_CP045187.2;End=947215;Strand=+	PF00436.27	1.6e-22	79.6	2	101	Single-strand binding protein family
Seqid=NZ_CP045187.2;Start=299792;Strand=-	PF17136.6	0.31	11.5	8	42	Ribosomal proteins 50S L24/mitochondrial 39S L24
Seqid=NZ_CP045187.2;End=1366143;Strand=+	PF13679.8	0.0054	16.8	24	81	Methyltransferase domain
Seqid=NZ_CP045187.2;End=1000660;Strand=+	PF08218.13	0.017	14.9	112	180	Citrate lyase ligase C-terminal domain
Seqid=NZ_CP045187.2;Start=2007343;Strand=-	PF03448.19	1.9e-24	86.3	45	148	MgtE intracellular N domain
